S,n_low,L_low,n_up,L_up,wl,wl_air
3,2,P,3,D,5877.29,5875.66
3,2,P,4,S,4714.49,4713.17
3,2,P,4,D,4472.76,4471.50
3,2,P,5,S,4122.00,4120.84
3,2,P,5,D,4027.35,4026.21
3,2,P,6,S,3868.59,3867.49
3,2,P,6,D,3820.71,3819.62
3,2,P,7,S,3733.94,3732.88
3,2,P,7,D,3706.07,3705.02
3,2,P,8,S,3653.04,3652.00
3,2,P,8,D,3635.29,3634.25
3,2,P,9,S,3600.35,3599.32
3,2,P,9,D,3588.30,3587.28
3,2,P,10,S,3564.00,3562.99
3,2,P,10,D,3555.44,3554.42
3,2,P,11,S,3537.83,3536.82
3,2,P,11,D,3531.51,3530.50
3,2,P,12,S,3518.32,3517.32
3,2,P,12,D,3513.53,3512.52
3,2,P,13,S,3503.39,3502.38
3,2,P,13,D,3499.66,3498.66
3,2,P,14,S,3491.69,3490.69
3,2,P,14,D,3488.73,3487.73
3,2,P,15,S,3482.35,3481.36
3,2,P,15,D,3479.97,3478.97
3,2,P,16,S,3474.78,3473.78
3,2,P,16,D,3472.82,3471.83
3,2,P,17,S,3468.55,3467.56
3,2,P,17,D,3466.93,3465.94
3,2,P,18,S,3463.36,3462.37
3,2,P,18,D,3462.00,3461.01
3,2,P,19,S,3459.00,3458.01
3,2,P,19,D,3457.85,3456.86
3,2,P,20,S,3455.29,3454.30
3,2,P,20,D,3454.31,3453.32
3,2,P,21,S,3452.11,3451.12
3,2,P,21,D,3451.26,3450.28
3,2,P,22,S,3449.37,3448.38
3,2,P,22,D,3448.63,3447.64
3,2,P,23,S,3446.98,3445.99
3,2,P,23,D,3446.34,3445.35
3,2,P,24,S,3444.89,3443.91
3,2,P,24,D,3444.33,3443.34
3,2,P,25,S,3443.06,3442.07
3,2,P,25,D,3442.56,3441.57
3,3,P,3,D,1.860e+05,1.860e+05
3,3,P,4,S,21125.97,21120.20
3,3,P,4,D,17007.14,17002.50
3,3,P,5,S,12849.52,12846.01
3,3,P,5,D,11972.39,11969.11
3,3,P,6,S,10670.63,10667.71
3,3,P,6,D,10314.09,10311.27
3,3,P,7,S,9705.31,9702.65
3,3,P,7,D,9519.21,9516.60
3,3,P,8,S,9177.04,9174.52
3,3,P,8,D,9065.80,9063.32
3,3,P,9,S,8851.61,8849.18
3,3,P,9,D,8779.15,8776.74
3,3,P,10,S,8635.11,8632.74
3,3,P,10,D,8585.00,8582.64
3,3,P,11,S,8483.02,8480.69
3,3,P,11,D,8446.80,8444.48
3,3,P,12,S,8371.74,8369.44
3,3,P,12,D,8344.63,8342.34
3,3,P,13,S,8287.67,8285.39
3,3,P,13,D,8266.83,8264.55
3,3,P,14,S,8222.50,8220.24
3,3,P,14,D,8206.12,8203.86
3,3,P,15,S,8170.92,8168.67
3,3,P,15,D,8157.78,8155.54
3,3,P,16,S,8129.35,8127.11
3,3,P,16,D,8118.65,8116.42
3,3,P,17,S,8095.33,8093.11
3,3,P,17,D,8086.51,8084.28
3,3,P,18,S,8067.14,8064.92
3,3,P,18,D,8059.76,8057.55
3,3,P,19,S,8043.49,8041.28
3,3,P,19,D,8037.27,8035.06
3,3,P,20,S,8023.47,8021.26
3,3,P,20,D,8018.16,8015.96
3,3,P,21,S,8006.35,8004.15
3,3,P,21,D,8001.79,7999.59
3,3,P,22,S,7991.61,7989.41
3,3,P,22,D,7987.66,7985.46
3,3,P,23,S,7978.81,7976.62
