4f12.5d.6p                  | *           |   5 |          54523.58    |          
                            |             |     |                      |           
4f12.6s.6p                  | *           |   3 |          54536.94    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   4 |          54583.82    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   8 |          54636.26    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   3 |          54679.43    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   6 |          54710.56    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   7 |          54988.96    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   3 |          55138.18    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   6 |          55157.61    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   5 |          55167.69    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   6 |          55476.18    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   6 |          55753.84    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   7 |          55758.31    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   4 |          55833.29    |          
                            |             |     |                      |           
4f12.6s.6p                  | *           |   6 |          55972.37    |          
                            |             |     |                      |           
4f12.(3H<4>).6s.6p.(3P*<2>) | (4,2)*      |   3 |          56042.07    |          
                            |             |     |                      |           
4f12.(3H<4>).6s.6p.(3P*<2>) | (4,2)*      |   5 |          56066.86    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   7 |          56157.29    |          
                            |             |     |                      |           
4f12.6s.6p                  | *           |   4 |          56351.99    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   3 |          56356.92    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   5 |          56506.46    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   6 |          56642.72    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   4 |          56714.21    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   5 |          56853.76    |          
                            |             |     |                      |           
4f12.6s.6p                  | *           |   5 |          57050.32    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   3 |          57253.02    |          
                            |             |     |                      |           
4f12.6s.6p                  | *           |   3 |          57465.55    |          
                            |             |     |                      |           
4f12.6s.6p                  | *           |   4 |          57520.46    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   6 |          57526.40    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   3 |          57547.98    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   7 |          57573.34    |          
                            |             |     |                      |           
4f12.6s.6p                  | *           |   5 |          57599.35    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   4 |          57741.72    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   6 |          57829.34    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   4 |          57859.31    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   3 |          57919.15    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   6 |          57961.53    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   7 |          58051.31    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   5 |          58107.79    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   6 |          58236.52    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   4 |          58351.88    |          
                            |             |     |                      |           
4f12.6s.6p                  | *           |   3 |          58379.52    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   5 |          58383.36    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   6 |          58500.70    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   5 |          58538.86    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   3 |          58644.27    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   5 |          58698.22    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   3 |          58742.98    |          
                            |             |     |                      |           
4f12.(3F<4>).5d.6p.(3F*<3>) | (4,3)*      |   7 |          58978.88    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   4 |          59067.28    |          
                            |             |     |                      |           
                            | *           |   2 |          59135.89    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   2 |          59156.94    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   4 |          59297.28    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   5 |          59607.45    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   4 |          59663.34    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   3 |          59763.33    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   3 |          59815.73    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   4 |          59889.74    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   4 |          60004.92    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   3 |          60116.36    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   5 |          60255.39    |          
                            |             |     |                      |           
4f12.(3H<5>).5d.6p.(3D*<1>) | (5,1)*      |   6 |          60262.99    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   4 |          60278.73    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   7 |          60325.70    |          
                            |             |     |                      |           
4f12.(3H<6>).5d.6p.(1F*<3>) | (6,3)*      |   8 |          60396.70    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   6 |          60418.58    |          
                            |             |     |                      |           
                            | *           |   3 |          60503.23    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   7 |          60539.57    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   4 |          60539.76    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   3 |          60572.87    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   6 |          60658.68    |          
                            |             |     |                      |           
4f12.6s.6p                  | *           |   4 |          60745.41    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   6 |          60832.41    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   5 |          60911.20    |          
                            |             |     |                      |           
