                    |        |  5/2 |             69060.711    |    L12177
                    |        |      |                          |           
                    |        |  9/2 |             69105.775    |    L12177
                    |        |      |                          |           
                    |        |  5/2 |             69481.712    |    L12177
                    |        |      |                          |           
                    |        |  7/2 |             69580.334    |    L12177
                    |        |      |                          |           
                    |        | 11/2 |             69587.792    |    L12177
                    |        |      |                          |           
5d3.(2H).6s.(3H).6p | 4H*    | 13/2 |             70000.529    |    L12177
                    |        |      |                          |           
                    |        |  7/2 |             70211.800    |    L12177
                    |        |      |                          |           
                    |        |  7/2 |             70674.184    |    L12177
                    |        |      |                          |           
5d3.(2H).6s.(3H).6p | 4I*    | 15/2 |             70845.790    |    L12177
                    |        |      |                          |           
                    |        |  9/2 |             70902.470    |    L12177
                    |        |      |                          |           
                    |        | 11/2 |             71164.174    |    L12177
                    |        |      |                          |           
5d4.(1I).6p         | 2I*    | 13/2 |             71220.067    |    L12177
                    |        |      |                          |           
                    |        |  9/2 |             71245.032    |    L12177
                    |        |      |                          |           
                    |        |  9/2 |             71785.392    |    L12177
                    |        |      |                          |           
                    |        | 11/2 |             72180.632    |    L12177
                    |        |      |                          |           
                    |        |  9/2 |             72401.581    |    L12177
                    |        |      |                          |           
                    |        |  9/2 |             72557.895    |    L12177
                    |        |      |                          |           
                    |        |  7/2 |             72597.303    |    L12177
                    |        |      |                          |           
5d4.(1I).6p         | 2K*    | 15/2 |             72821.142    |    L12177
                    |        |      |                          |           
                    |        | 11/2 |             73266.317    |    L12177
                    |        |      |                          |           
                    |        |  7/2 |             73427.537    |    L12177
                    |        |      |                          |           
                    |        |  9/2 |             73705.965    |    L12177
                    |        |      |                          |           
                    |        |  9/2 |             74446.931    |    L12177
