                          |           |  5/2 |          61717.98    |            
                          |           |      |                      |             
4f.(2F*).5d2.(3F)         | 4I*       |  9/2 |          62062.63    |            
                          |           |      |                      |             
4f2.(3H<4>).6p<3/2>       | (4,3/2)*  | 11/2 |          62240.83    |            
                          |           |      |                      |             
4f.(2F*).5d2.(3F)         | *         |  9/2 |          62535.62    |            
                          |           |      |                      |             
4f2.(3H<6>).6p<1/2>       | (6,1/2)*  | 11/2 |          62558.67    |            
                          |           | 13/2 |          62678.70    |            
                          |           |      |                      |             
4f2.(3F<2>).6p<1/2>       | (2,1/2)*  |  3/2 |          63221.28    |            
                          |           |      |                      |             
4f.(2F*).5d2.(3F)         | 4H*       |  7/2 |          63232.14    |            
                          |           |      |                      |             
4f2.(3F<2>).6p<1/2>       | (2,1/2)*  |  5/2 |          63576.27    |            
                          |           |      |                      |             
4f2.(3H<5>).6p<3/2>       | (5,3/2)*  |  9/2 |          63593.35    |            
                          |           |  7/2 |          63768.66    |            
                          |           |      |                      |             
4f.(2F*).5d2.(3F)         | 4I*       | 11/2 |          63816.91    |            
                          |           |      |                      |             
4f.(2F*).5d2.(3F)         | *         | 11/2 |          64150.94    |            
                          |           |      |                      |             
4f2.(3H<5>).6p<3/2>       | (5,3/2)*  | 13/2 |          64215.45    |            
                          |           |      |                      |             
4f.(2F*).5d2.(3F)         | 4H*       |  9/2 |          64235.61    |            
                          |           |      |                      |             
4f2.(3F<3>).6p<1/2>       | (3,1/2)*  |  5/2 |          64401.03    |            
                          |           |      |                      |             
4f.(2F*).5d2.(3F)         | *         |  5/2 |          64817.53    |            
                          |           |      |                      |             
4f2.(3F<4>).6p<1/2>       | (4,1/2)*  |  9/2 |          64857.15    |            
                          |           |      |                      |             
4f.(2F*).5d2.(3F)         | 4H*       | 11/2 |          64865.15    |            
                          |           |      |                      |             
4f2.(3F<4>).6p<1/2>       | (4,1/2)*  |  7/2 |          64979.55    |            
                          |           |      |                      |             
4f2.(3F<3>).6p<1/2>       | (3,1/2)*  |  7/2 |          65295.90    |            
                          |           |      |                      |             
4f.(2F*).5d2.(3F)         | 4G*       |  5/2 |          65909.44    |            
                          |           |      |                      |             
4f2.(3H<6>).6p<3/2>       | (6,3/2)*  | 11/2 |          65922.42    |            
                          |           |      |                      |             
4f.(2F*).5d2.(3F)         | *         |  7/2 |          65935.25    |            
                          |           |      |                      |             
4f.(2F*).5d2.(3F)         | 4I*       | 13/2 |          65967.15    |            
                          |           |      |                      |             
4f2.(3H<6>).6p<3/2>       | (6,3/2)*  | 13/2 |          66148.40    |            
                          |           | 15/2 |          66301.35    |            
                          |           |      |                      |             
4f2.(3F<2>).6p<3/2>       | (2,3/2)*  |  1/2 |          66324.84    |            
                          |           |      |                      |             
4f.(2F*).5d2.(3F)         | 4F*       |  5/2 |          66681.14    |            
                          |           |      |                      |             
4f.(2F*).5d2.(3F)         | 4H*       | 13/2 |          66735.88    |            
                          |           |      |                      |             
4f.(2F*).5d2.(3F)         | 4G*       |  7/2 |          66852.87    |            
                          |           |      |                      |             
4f2.(3F<2>).6p<3/2>       | (2,3/2)*  |  3/2 |          66867.09    |            
                          |           |      |                      |             
4f.(2F*).5d2.(3F)         | *         |  5/2 |          66943.04    |            
                          |           |      |                      |             
4f2.(3H<6>).6p<3/2>       | (6,3/2)*  |  9/2 |          67049.18    |            
                          |           |      |                      |             
4f2.(3F<2>).6p<3/2>       | (2,3/2)*  |  7/2 |          67240.35    |            
                          |           |  5/2 |          67395.32    |            
                          |           |      |                      |             
4f.(2F*).5d2.(1D)         | *         |  9/2 |          67398.79    |            
                          |           |      |                      |             
4f.(2F*).5d2.(3F)         | 4F*       |  7/2 |          67679.21    |            
                          |           |      |                      |             
4f2.(3F<3>).6p<3/2>       | (3,3/2)*  |  9/2 |          67870.76    |            
                          |           |  3/2 |          67965.47    |            
                          |           |      |                      |             
4f.(2F*).5d2.(3F)         | 2I*       | 11/2 |          68238.12    |            
                          |           |      |                      |             
4f.(2F*).5d2.(3F)         | 4I*       | 15/2 |          68305.1     |            
                          |           |      |                      |             
4f.(2F*).5d2.(3F)         | *         |  7/2 |          68331.73    |            
                          |           |      |                      |             
4f2.(1G<4>).6p<1/2>       | *         |  9/2 |          68374.54    |            
                          |           |      |                      |             
4f2.(3F<3>).6p<3/2>       | (3,3/2)*  |  7/2 |          68492.43    |            
                          |           |      |                      |             
4f2.(3F<4>).6p<3/2>       | (4,3/2)*  | 11/2 |          68525.62    |            
                          |           |      |                      |             
4f.(2F*).5d2.(3F)         | 4G*       |  9/2 |          68544.19    |            
                          |           |      |                      |             
4f2.(3F<4>).6p<3/2>       | *         |  7/2 |          68801.67    |            
                          |           |      |                      |             
4f2.(3F<3>).6p<3/2>       | (3,3/2)*  |  5/2 |          68978.55    |            
                          |           |      |                      |             
4f.(2F*).5d2.(3F)         | *         |  7/2 |          68987.07    |            
                          |           |      |                      |             
4f2.(3F<4>).6p<3/2>       | *         |  9/2 |          69138.28    |            
