                       |        |             |                              |               
                       |        |           5 |              28034.00813     | L18702,L16199
                       |        |             |                              |               
                       | *      |           4 |              28140.86799     | L18702,L16199
                       |        |             |                              |               
                       | *      |           6 |              28188.34547     |    L18702,u39
                       |        |             |                              |               
                       | *      |           0 |              28206.9782      |    L18702,u39
                       |        |             |                              |               
5f.7s2.7p              | 3F     |           4 |              28227.93504     |    L18702,u39
                       |        |             |                              |               
                       |        |           2 |              28273.21842     | L18702,L16199
                       |        |             |                              |               
                       | *      |           5 |              28321.00884     |    L18702,u39
                       |        |             |                              |               
5f.7s2.7p              | 3G     |           5 |              28342.50330     |    L18702,u39
                       |        |             |                              |               
                       |        |           1 |              28346.81854     |    L18702,u39
                       |        |             |                              |               
                       | *      |           2 |              28347.54723     | L18702,L17451
                       |        |             |                              |               
                       |        |           3 |              28358.39555     | L18702,L16199
                       |        |             |                              |               
                       | *      |           1 |              28372.71076     | L18702,L17451
                       |        |             |                              |               
                       |        |           1 |              28450.51635     |  L18702,L5951
                       |        |             |                              |               
                       | *      |           4 |              28480.16113     |  L18702,L3552
                       |        |             |                              |               
                       | *      |           2 |              28513.29787     | L18702,L17451
                       |        |             |                              |               
                       | *      |           7 |              28518.30342     |    L18702,u39
                       |        |             |                              |               
6d4                    |        |           2 |              28531.05121     |    L18702,u39
                       |        |             |                              |               
                       |        |           4 |              28562.66485     | L18702,L16199
                       |        |             |                              |               
                       | *      |           3 |              28589.30942     | L18702,L17451
                       |        |             |                              |               
                       | *      |           1 |              28649.14156     | L18702,L16199
                       |        |             |                              |               
                       | *      |           2 |              28673.43441     | L18702,L16199
                       |        |             |                              |               
                       | *      |           3 |              28676.24203     | L18702,L16199
                       |        |             |                              |               
                       |        |           2 |              28679.25957     |  L18702,L3552
                       |        |             |                              |               
                       | *      |           4 |              28680.73627     | L18702,L16199
                       |        |             |                              |               
5f.6d.7s.7p            | 5H     |           4 |              28845.56513     |    L18702,u39
                       |        |             |                              |               
                       |        |           2 |              28882.45742     | L18702,L16199
                       |        |             |                              |               
                       | *      |           3 |              28884.95681     | L18702,L17451
                       |        |             |                              |               
                       | *      |           2 |              28917.95572     | L18702,L17451
                       |        |             |                              |               
                       | *      |           4 |              28932.65158     | L18702,L17451
                       |        |             |                              |               
                       |        |           3 |              28934.90819     | L18702,L16199
                       |        |             |                              |               
                       | *      |           5 |              29050.73523     | L18702,L17451
                       |        |             |                              |               
                       |        |           1 |              29097.59262     |    L18702,u39
                       |        |             |                              |               
6d4                    | 3G     |           4 |              29104.00388     |    L18702,u39
                       |        |             |                              |               
                       | *      |      6 or 5 |              29123.8479      |    L18702,u39
                       |        |             |                              |               
                       |        |           5 |              29141.53019     |  L18702,L3552
                       |        |             |                              |               
                       | *      |           1 |              29157.0908      | L18702,L17451
                       |        |             |                              |               
                       | *      |           3 |              29157.87692     |  L18702,L3552
                       |        |             |                              |               
                       | *      |           1 |              29197.32496     | L18702,L17451
                       |        |             |                              |               
                       | *      |           2 |              29197.90600     |  L18702,L3552
                       |        |             |                              |               
                       | *      |           2 |              29252.78674     | L18702,L17451
                       |        |             |                              |               
                       |        |           0 |              29299.74563     |    L18702,u39
                       |        |             |                              |               
                       | *      |           4 |              29310.01688     |    L18702,u39
                       |        |             |                              |               
                       | *      | 5 or 6 or 7 |              29397.1521      |    L18702,u39
                       |        |             |                              |               
                       |        |           2 |              29418.39044     | L18702,L16199
                       |        |             |                              |               
                       | *      |           2 |              29419.23183     |  L18702,L3552
                       |        |             |                              |               
6d4                    |        |           1 |              29422.08479     |    L18702,u39
                       |        |             |                              |               
5f.6d.7s.7p            | 5H     |           6 |              29552.51939     |    L18702,u39
                       |        |             |                              |               
                       | *      |           1 |              29640.2566      | L18702,L16199
                       |        |             |                              |               
                       |        |           2 |              29650.95804     | L18702,L16199
                       |        |             |                              |               
5f.6d.7s.7p            | 5H     |           5 |              29684.20065     |    L18702,u39
                       |        |             |                              |               
                       | *      |           3 |              29686.36795     | L18702,L17451
                       |        |             |                              |               
                       | *      |           5 |              29711.62048     |  L18702,L3552
                       |        |             |                              |               
                       | *      |           5 |              29733.32304     | L18702,L16199
                       |        |             |                              |               
                       | *      |           3 |              29744.51997     | L18702,L16199
                       |        |             |                              |               
                       |        |           4 |              29756.39860     | L18702,L16199
                       |        |             |                              |               
                       |        |           3 |              29835.04913     | L18702,L16199
                       |        |             |                              |               
                       |        |           4 |              29849.16255     |  L18702,L3552
                       |        |             |                              |               
                       | *      |           2 |              29853.14415     | L18702,L17451
                       |        |             |                              |               
                       | *      |           4 |              29881.45655     |  L18702,L3552
                       |        |             |                              |               
                       |        |           1 |              29961.79723     | L18702,L16199
                       |        |             |                              |               
                       |        |           3 |              30011.34827     | L18702,L16199
                       |        |             |                              |               
6d4                    |        |           4 |              30014.32907     |    L18702,u39
                       |        |             |                              |               
                       | *      |           3 |              30017.09677     | L18702,L16199
                       |        |             |                              |               
                       |        |           2 |              30132.64625     | L18702,L16199
                       |        |             |                              |               
                       | *      |           4 |              30160.00425     | L18702,L16199
                       |        |             |                              |               
                       | *      |           2 |              30208.5794      | L18702,L16199
                       |        |             |                              |               
                       | *      |           3 |              30255.45106     | L18702,L16199
                       |        |             |                              |               
                       | *      |           1 |              30281.0099      | L18702,L17451
                       |        |             |                              |               
                       |        |           1 |              30286.90016     | L18702,L16199
                       |        |             |                              |               
                       |        |           6 |              30372.71524     | L18702,L16199
                       |        |             |                              |               
                       |        |           5 |              30508.00424     | L18702,L16199
                       |        |             |                              |               
                       | *      |           5 |              30517.10597     |    L18702,u39
                       |        |             |                              |               
                       | *      |           4 |              30517.38856     | L18702,L17451
                       |        |             |                              |               
                       |        |           2 |              30544.56459     | L18702,L16199
                       |        |             |                              |               
                       |        |           4 |              30552.50463     | L18702,L16199
                       |        |             |                              |               
                       | *      |           2 |              30553.29269     | L18702,L17451
                       |        |             |                              |               
                       | *      |           6 |              30572.95496     |    L18702,u39
                       |        |             |                              |               
                       | *      |           0 |              30613.6337      |  L18702,L3552
                       |        |             |                              |               
6d4                    |        |           3 |              30651.16019     |    L18702,u39
                       |        |             |                              |               
                       | *      |           1 |              30723.8126      | L18702,L17451
                       |        |             |                              |               
5f.6d.7s.7p            | 5I     |           7 |              30726.78752     |    L18702,u39
                       |        |             |                              |               
                       |        |           2 |              30758.01183     | L18702,L16199
                       |        |             |                              |               
                       | *      |           3 |              30761.71803     | L18702,L17451
                       |        |             |                              |               
                       | *      |           5 |              30788.17715     | L18702,L16199
                       |        |             |                              |               
                       | *      |           2 |              30812.9877      | L18702,L17451
                       |        |             |                              |               
                       |        |           1 |              30889.93430     | L18702,L16199
                       |        |             |                              |               
                       | *      |           1 |              30928.7370      | L18702,L17451
                       |        |             |                              |               
5f.6d.7s.7p            | 5H     |           6 |              30930.44068     |    L18702,u39
                       |        |             |                              |               
                       |        |           3 |              30964.65395     | L18702,L16199
                       |        |             |                              |               
                       |        |           4 |              30971.23650     |  L18702,L1056
                       |        |             |                              |               
                       | *      |           3 |              30990.51628     | L18702,L16199
                       |        |             |                              |               
                       | *      |           4 |              31019.11347     |  L18702,L3552
                       |        |             |                              |               
6d4                    | 3G     |           5 |              31030.59080     |    L18702,u39
                       |        |             |                              |               
