4f11.(4I*).5d.6p?               |            | 15/2 |          43223.145    |            
                                |            |      |                       |             
4f11.(4I*).6s.6p?               |            | 11/2 |          43273.539    |            
                                |            |      |                       |             
                                | *          |  7/2 |          43302.725    |            
                                |            |      |                       |             
4f11.(4I*).6s.6p?               |            | 13/2 |          43319.482    |            
                                |            |      |                       |             
4f11.(4I*).5d.6p?               |            | 19/2 |          43413.717    |            
                                |            |      |                       |             
4f11.(4I*).5d.6p?               |            |  9/2 |          43460.803    |            
                                |            |      |                       |             
                                |            | 15/2 |          43522.203    |            
                                |            |      |                       |             
                                | *          |  5/2 |          43553.435    |            
                                |            |      |                       |             
                                |            | 11/2 |          43638.448    |            
                                |            |      |                       |             
                                |            | 13/2 |          43724.968    |            
                                |            |      |                       |             
                                | *          |  7/2 |          43925.092    |            
                                |            |      |                       |             
                                | *          |  3/2 |          43929.434    |            
                                |            |      |                       |             
                                | *          |  7/2 |          43939.914    |            
                                |            |      |                       |             
                                |            | 19/2 |          43977.651    |            
                                |            |      |                       |             
                                | *          |  7/2 |          44148.073    |            
                                |            |      |                       |             
                                | *          |  3/2 |          44162.153    |            
                                |            |      |                       |             
                                |            | 17/2 |          44235.276    |            
                                |            |      |                       |             
                                |            | 15/2 |          44263.177    |            
                                |            |      |                       |             
                                |            | 17/2 |          44820.220    |            
                                |            |      |                       |             
                                | *          |  3/2 |          44848.559    |            
                                |            |      |                       |             
                                |            | 13/2 |          44920.406    |            
                                |            |      |                       |             
                                |            | 15/2 |          44955.121    |            
                                |            |      |                       |             
                                | *          |  7/2 |          45011.044    |            
                                |            |      |                       |             
                                |            | 17/2 |          45285.068    |            
                                |            |      |                       |             
                                |            | 17/2 |          45471.524    |            
                                |            |      |                       |             
                                |            | 11/2 |          45559.568    |            
                                |            |      |                       |             
                                |            |  9/2 |          45900.980    |            
                                |            |      |                       |             
                                |            | 13/2 |          46106.988    |            
                                |            |      |                       |             
                                |            | 15/2 |          46260.808    |            
                                |            |      |                       |             
                                |            | 11/2 |          46525.882    |            
                                |            |      |                       |             
                                |            | 21/2 |          46560.615    |            
                                |            |      |                       |             
                                |            | 15/2 |          46757.391    |            
                                |            |      |                       |             
                                |            | 19/2 |          46757.780    |            
                                |            |      |                       |             
                                |            | 17/2 |          46915.510    |            
                                |            |      |                       |             
                                |            | 13/2 |          47050.810    |            
                                |            |      |                       |             
                                |            | 15/2 |          47162.334    |            
                                |            |      |                       |             
                                |            | 17/2 |          47174.273    |            
                                |            |      |                       |             
                                |            | 19/2 |          47426.638    |            
                                |            |      |                       |             
                                |            | 15/2 |          47466.969    |            
                                |            |      |                       |             
                                |            | 19/2 |          47786.901    |            
                                |            |      |                       |             
                                |            | 13/2 |          47840.962    |            
                                |            |      |                       |             
                                |            | 11/2 |          47847.615    |            
                                |            |      |                       |             
                                |            | 15/2 |          48151.388    |            
                                |            |      |                       |             
                                |            | 13/2 |          48525.666    |            
                                |            |      |                       |             
                                |            |  9/2 |          48607.416    |            
                                |            |      |                       |             
                                |            | 17/2 |          48676.243    |            
                                |            |      |                       |             
                                |            | 19/2 |          48788.988    |            
                                |            |      |                       |             
                                |            | 13/2 |          49005.981    |            
                                |            |      |                       |             
                                |            | 13/2 |          49091.098    |            
                                |            |      |                       |             
                                |            | 15/2 |          49378.255    |            
                                |            |      |                       |             
                                |            | 15/2 |          49660.227    |            
                                |            |      |                       |             
                                |            | 13/2 |          50115.664    |            
                                |            |      |                       |             
                                |            | 15/2 |          50246.395    |            
                                |            |      |                       |             
                                |            | 11/2 |          50387.772    |            
                                |            |      |                       |             
                                |            | 15/2 |          50451.958    |            
                                |            |      |                       |             
                                |            | 13/2 |          50457.727    |            
                                |            |      |                       |             
                                |            | 13/2 |          50850.345    |            
                                |            |      |                       |             
                                |            | 15/2 |          51010.412    |            
                                |            |      |                       |             
                                |            | 11/2 |          51037.663    |            
                                |            |      |                       |             
                                |            | 15/2 |          51103.871    |            
                                |            |      |                       |             
                                |            | 13/2 |          51574.835    |            
                                |            |      |                       |             
                                |            | 15/2 |          51606.662    |            
                                |            |      |                       |             
                                |            | 13/2 |          52247.929    |            
                                |            |      |                       |             
                                |            | 17/2 |          52392.832    |            
                                |            |      |                       |             
                                |            | 15/2 |          52996.133    |            
                                |            |      |                       |             
                                |            | 13/2 |          53891.761    |            
                                |            |      |                       |             
                                |            | 13/2 |          54387.255    |            
                                |            |      |                       |             
                                |            | 15/2 |          55316.342    |            
