                               | 7D*?   |           3 |            24967.14    |          
                               |        |             |                        |           
                               | *      |           5 |            24977.83    |          
                               |        |             |                        |           
4f5.(6F*).5d.6s2               | 7H*    |           4 |            25065.37    |          
                               |        |             |                        |           
4f5.(6H*).5d2.6s?              | 9I*?   |           6 |            25259.80    |          
                               |        |             |                        |           
4f5.(6H*).5d.6s2               | *      |           4 |            25387.17    |          
                               |        |             |                        |           
4f5.(6F*).5d.6s2               | *      |           5 |            25390.91    |          
                               |        |             |                        |           
                               | *      |           5 |            25453.11    |          
                               |        |             |                        |           
                               | 7D*?   |           4 |            25572.10    |          
                               |        |             |                        |           
                               | *      |           3 |            25604.76    |          
                               |        |             |                        |           
4f5.(6H*).5d.6s2               | *      |           5 |            25615.55    |          
                               |        |             |                        |           
                               | *      |           4 |            25663.60    |          
                               |        |             |                        |           
4f5.(6H*).5d.6s2               | *      |           5 |            25675.50    |          
                               |        |             |                        |           
4f6.(7F).5d.6p.(3F*)?          | 9I*?   |           2 |            25808.90    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(1P*)           | *      |           6 |            25840.31    |          
                               |        |             |                        |           
4f5.(6F*).5d.6s2               | 7P*    |           2 |            25979.30    |          
                               |        |             |                        |           
                               | *      |           2 |            26054.05    |          
                               |        |             |                        |           
4f5.(6F*).5d.6s2               | 7H*    |           5 |            26065.85    |          
                               |        |             |                        |           
                               | *      |           1 |            26146.01    |          
                               |        |             |                        |           
4f5.(6H*).5d2.6s?              | 9I*?   |           7 |            26171.20    |          
                               |        |             |                        |           
                               | *      |           6 |            26180.92    |          
                               |        |             |                        |           
4f6.(7F).5d.6p.(3F*)?          | 9I*?   |           3 |            26214.75    |          
                               |        |             |                        |           
                               | 7H*?   |           2 |            26220.86    |          
                               |        |             |                        |           
                               | 7I*?   |           3 |            26267.14    |          
                               |        |             |                        |           
4f5.(6F*).5d.6s2               | 7F*    |           1 |            26281.09    |          
                               |        |             |                        |           
                               | 7D*?   |           5 |            26311.45    |          
                               |        |             |                        |           
                               | *      |           4 |            26382.25    |          
                               |        |             |                        |           
                               | 9H*?   |           1 |            26438.25    |          
                               |        |             |                        |           
4f5.(6F*).5d.6s2               | *      |           6 |            26471.33    |          
                               |        |             |                        |           
                               | *      |           5 |            26507.31    |          
                               |        |             |                        |           
                               | *      |           3 |            26619.16    |          
                               |        |             |                        |           
                               | *      |           4 |            26657.10    |          
                               |        |             |                        |           
                               | *      |           3 |            26703.85    |          
                               |        |             |                        |           
                               | 7H*?   |           3 |            26714.40    |          
                               |        |             |                        |           
                               | 9H*?   |           2 |            26721.35    |          
                               |        |             |                        |           
4f6.(7F).5d.6p.(3F*)?          | 9I*?   |           4 |            26752.26    |          
                               |        |             |                        |           
                               | *      |           5 |            26776.98    |          
                               |        |             |                        |           
4f5.(6F*).5d.6s2               | 7F*    |           2 |            26786.80    |          
                               |        |             |                        |           
                               | *      |           1 |            26803.70    |          
                               |        |             |                        |           
                               | *      |           0 |            26822.13    |          
                               |        |             |                        |           
                               | *      |           4 |            26962.12    |          
                               |        |             |                        |           
4f5.(6F*).5d.6s2               | 7D*    |           1 |            26962.12    |          
