                   |        |      |                       |               
4d4.(a 3P).5p      | y 2D*  |  5/2 |           66082.31    |              
                   |        |      |                       |               
4d4.(3G).5p        | x 4G*  |  7/2 |           66087.55    |              
                   |        |      |                       |               
4d4.(3D).5p        | w 4D*  |  1/2 |           66373.65    |              
                   |        |      |                       |               
4d4.(3G).5p        | x 4G*  |  9/2 |           66391.46    |              
                   |        |      |                       |               
4d4.(3D).5p        | w 4D*  |  3/2 |           66399.44    |              
                   |        |  5/2 |           66667.98    |              
                   |        |  7/2 |           66716.34    |              
                   |        |      |                       |               
4d4.(3G).5p        | x 4G*  | 11/2 |           66743.72    |              
                   |        |      |                       |               
4d4.(a 1G).5p      | x 2F*  |  7/2 |           67391.42    |              
                   |        |  5/2 |           67658.13    |              
                   |        |      |                       |               
4d4.(3D).5p        | x 4P*  |  5/2 |           67712.92    |              
                   |        |      |                       |               
4d4.(3G).5p        | x 2G*  |  7/2 |           67760.30    |              
                   |        |      |                       |               
4d4.(3D).5p        | w 4F*  |  3/2 |           67821.60    |              
                   |        |      |                       |               
4d4.(1I).5p        | z 2K*  | 13/2 |           67888.85    |              
                   |        |      |                       |               
4d4.(3D).5p        | w 4F*  |  5/2 |           68015.92    |              
                   |        |      |                       |               
4d4.(3G).5p        | x 2G*  |  9/2 |           68052.47    |              
                   |        |      |                       |               
4d4.(3D).5p        | w 4F*  |  7/2 |           68179.70    |              
                   |        |  9/2 |           68323.50    |              
                   |        |      |                       |               
4d4.(3D).5p        | x 4P*  |  3/2 |           68441.66    |              
                   |        |      |                       |               
4d4.(1I).5p        | y 2I*  | 11/2 |           68472.84    |              
                   |        |      |                       |               
4d4.(3D).5p        | y 2P*  |  1/2 |           68645.50    |              
                   |        |  3/2 |           68902.80    |              
                   |        |      |                       |               
4d4.(1I).5p        | y 2I*  | 13/2 |           68908.60    |              
                   |        |      |                       |               
4d4.(1I).5p        | z 2K*  | 15/2 |           69047.45    |              
                   |        |      |                       |               
4d4.(3D).5p        | x 4P*  |  1/2 |           69049.75    |              
                   |        |      |                       |               
4d4.(3D).5p        | w 2F*  |  5/2 |           69729.90    |              
                   |        |      |                       |               
4d4.(a 1G).5p      | x 2H*  |  9/2 |           70003.84    |              
                   |        |      |                       |               
4d4.(3D).5p        | w 2F*  |  7/2 |           70101.55    |              
                   |        |      |                       |               
4d4.(a 1G).5p      | x 2H*  | 11/2 |           70670.57    |              
                   |        |      |                       |               
4d4.(a 1D).5p      | x 2D*  |  5/2 |           70713.10    |              
                   |        |  3/2 |           70738.00    |              
                   |        |      |                       |               
4d4.(a 1G).5p      | w 2G*  |  9/2 |           71011.20    |              
                   |        |  7/2 |           71193.53    |              
                   |        |      |                       |               
4d4.(1I).5p        | w 2H*  | 11/2 |           71546.56    |              
                   |        |  9/2 |           71920.22    |              
                   |        |      |                       |               
4d4.(a 1S).5p      | x 2P*  |  1/2 |           71966.30    |              
                   |        |      |                       |               
4d4.(3D).5p        | w 2D*  |  3/2 |           72039.00    |              
                   |        |      |                       |               
4d4.(a 1D).5p      | v 2F*  |  5/2 |           72484.19    |              
                   |        |      |                       |               
4d4.(3D).5p        | w 2D*  |  5/2 |           72829.62    |              
                   |        |      |                       |               
4d4.(a 1D).5p      | v 2F*  |  7/2 |           73032.28    |              
                   |        |      |                       |               
4d4.(a 1S).5p      | x 2P*  |  3/2 |           73218.97    |              
                   |        |      |                       |               
4d4.(a 1D).5p      | w 2P*  |  1/2 |           73546.75    |              
                   |        |  3/2 |           74050.37    |              
                   |        |      |                       |               
4d4.(1F).5p        | u 2F*  |  5/2 |           74146.50    |              
                   |        |  7/2 |           74491.54    |              
                   |        |      |                       |               
4d4.(b 3F).5p      | t 2F*  |  7/2 |           74749.55    |              
                   |        |      |                       |               
4d4.(b 3F).5p      | w 4G*  |  5/2 |           74858.86    |              
                   |        |      |                       |               
4d4.(b 3F).5p      | t 2F*  |  5/2 |           74926.17    |              
                   |        |      |                       |               
4d4.(1F).5p        | v 2G*  |  9/2 |           75685.65    |              
                   |        |      |                       |               
4d4.(b 3F).5p      | v 4F*  |  5/2 |           75810.62?   |              
                   |        |      |                       |               
4d4.(b 3P).5p      | v 2D*  |  5/2 |           75819.80    |              
                   |        |      |                       |               
4d4.(b 3F).5p      | w 4G*  |  7/2 |           75834.37    |              
                   |        |      |                       |               
4d4.(b 3P).5p      | 4D*    |  5/2 |           76206.57    |              
                   |        |  7/2 |           76325.00    |              
                   |        |      |                       |               
4d4.(b 3F).5p      | w 4G*  |  9/2 |           76584.60    |              
                   |        |      |                       |               
4d4.(b 3F).5p      | v 4F*  |  9/2 |           76637.38    |              
                   |        |  7/2 |           76667.03    |              
                   |        |      |                       |               
4d4.(b 3F).5p      | w 4G*  | 11/2 |           77663.92    |              
                   |        |      |                       |               
4d4.(1F).5p        | u 2D*  |  5/2 |           80420.55    |              
                   |        |      |                       |               
4d4.(b 3F).5p      | u 2G*  |  7/2 |           81526.97    |              
                   |        |  9/2 |           82556.90    |              
                   |        |      |                       |               
4d4.(b 1G).5p      | t 2G*  |  9/2 |           83314.88    |              
                   |        |  7/2 |           83874.15    |              
                   |        |      |                       |               
4d4.(b 1G).5p      | v 2H*  |  9/2 |           83964.88    |              
                   |        | 11/2 |           84496.50    |              
                   |        |      |                       |               
4d4.(b 1G).5p      | s 2F*  |  7/2 |           86566.24    |              
                   |        |      |                       |               
4d4.(b 3F).5p      | t 2D*  |  5/2 |           86693.42    |              
                   |        |  3/2 |           87033.60    |              
