5d5.6p              | 203255*  |   6 |             203255.48    |       L19450
                    |          |     |                          |              
5d5.6p              | 203534*  |   5 |             203534.37    |       L19450
                    |          |     |                          |              
5d5.6p              | 203935*  |   1 |             203935.9     |       L19450
                    |          |     |                          |              
5d5.6p              | 204201*  |   2 |             204201.5     |       L19450
                    |          |     |                          |              
5d5.6p              | 204440*  |   4 |             204440.00    |       L19450
                    |          |     |                          |              
5d5.6p              | 204536*  |   3 |             204536.67    |       L19450
                    |          |     |                          |              
5d5.(2I).6p         | 3K*      |   8 |             205055.0     |       L19450
                    |          |     |                          |              
5d5.6p              | 205180*  |   4 |             205180.52    |       L19450
                    |          |     |                          |              
5d5.6p              | 205472*  |   1 |             205472.2     |       L19450
                    |          |     |                          |              
5d5.6p              | 205545*  |   2 |             205545.7     |       L19450
                    |          |     |                          |              
5d5.6p              | 205581*  |   5 |             205581.06    |       L19450
                    |          |     |                          |              
5d5.6p              | 205833*  |   6 |             205833.23    |       L19450
                    |          |     |                          |              
5d5.(2I).6p         | 3I*      |   7 |             205835.1     |       L19450
                    |          |     |                          |              
5d5.(2I).6p         | 3H*      |   4 |             206105.98    |       L19450
                    |          |     |                          |              
5d5.6p              | 206332*  |   5 |             206332.53    |       L19450
                    |          |     |                          |              
5d5.6p              | 206347*  |   3 |             206347.8     |       L19450
                    |          |     |                          |              
5d5.6p              | 207261*  |   2 |             207261.9     |       L19450
                    |          |     |                          |              
5d5.6p              | 207263*  |   3 |             207263.31    |       L19450
                    |          |     |                          |              
5d5.6p              | 207360*  |   4 |             207360.87    |       L19450
                    |          |     |                          |              
5d5.6p              | 207377*  |   1 |             207377.6     |       L19450
                    |          |     |                          |              
5d5.6p              | 208760*  |   2 |             208760.0     |       L19450
                    |          |     |                          |              
5d5.6p              | 208919*  |   1 |             208919.6     |       L19450
                    |          |     |                          |              
5d5.6p              | 208990*  |   3 |             208990.74    |       L19450
                    |          |     |                          |              
5d5.6p              | 209418*  |   3 |             209418.01    |       L19450
                    |          |     |                          |              
5d5.6p              | 209840*  |   5 |             209840.99    |       L19450
                    |          |     |                          |              
5d5.6p              | 209892*  |   2 |             209892.6     |       L19450
                    |          |     |                          |              
5d5.6p              | 210017*  |   4 |             210017.82    |       L19450
                    |          |     |                          |              
5d5.(2I).6p         | 1I*      |   6 |             210083.67    |       L19450
                    |          |     |                          |              
5d5.6p              | 211529*  |   4 |             211529.26    |       L19450
                    |          |     |                          |              
5d5.6p              | 211676*  |   2 |             211676.0     |       L19450
                    |          |     |                          |              
5d5.6p              | 211857*  |   3 |             211857.3     |       L19450
                    |          |     |                          |              
5d5.6p              | 212478*  |   1 |             212478.8     |       L19450
                    |          |     |                          |              
5d5.6p              | 212643*  |   6 |             212643.5     |       L19450
                    |          |     |                          |              
5d5.6p              | 213045*  |   4 |             213045.3     |       L19450
                    |          |     |                          |              
5d5.6p              | 213052*  |   3 |             213052.4     |       L19450
                    |          |     |                          |              
5d5.6p              | 213559*  |   5 |             213559.13    |       L19450
                    |          |     |                          |              
5d5.6p              | 213716*  |   2 |             213716.1     |       L19450
                    |          |     |                          |              
5d5.6p              | 213880*  |   4 |             213880.0     |       L19450
                    |          |     |                          |              
5d5.6p              | 214185*  |   3 |             214185.2     |       L19450
                    |          |     |                          |              
5d5.6p              | 215038*  |   2 |             215038.6     |       L19450
                    |          |     |                          |              
5d5.6p              | 215324*  |   4 |             215324.2     |       L19450
                    |          |     |                          |              
5d5.6p              | 215655*  |   5 |             215655.04    |       L19450
                    |          |     |                          |              
5d5.6p              | 215782*  |   3 |             215782.1     |       L19450
                    |          |     |                          |              
5d5.6p              | 215933*  |   1 |             215933.4     |       L19450
                    |          |     |                          |              
5d5.6p              | 215953*  |   2 |             215953.6     |       L19450
                    |          |     |                          |              
5d5.6p              | 216758*  |   4 |             216758.4     |       L19450
                    |          |     |                          |              
5d5.6p              | 216903*  |   2 |             216903.3     |       L19450
                    |          |     |                          |              
5d5.6p              | 217099*  |   3 |             217099.4     |       L19450
                    |          |     |                          |              
5d5.6p              | 217171*  |   1 |             217171.3     |       L19450
                    |          |     |                          |              
5d5.6p              | 217317*  |   5 |             217317.19    |       L19450
                    |          |     |                          |              
5d5.6p              | 217657*  |   1 |             217657.4     |       L19450
                    |          |     |                          |              
5d5.6p              | 217790*  |   3 |             217790.5     |       L19450
                    |          |     |                          |              
5d5.(2D3).6p        | 3P*      |   0 |             218676.7     |       L19450
                    |          |     |                          |              
5d5.6p              | 218709*  |   4 |             218709.64    |       L19450
                    |          |     |                          |              
5d5.6p              | 219119*  |   2 |             219119.8     |       L19450
                    |          |     |                          |              
5d5.6p              | 219260*  |   5 |             219260.02    |       L19450
                    |          |     |                          |              
5d5.6p              | 219285*  |   3 |             219285.0     |       L19450
                    |          |     |                          |              
5d5.6p              | 220456*  |   5 |             220456.09    |       L19450
                    |          |     |                          |              
5d5.6p              | 220738*  |   4 |             220738.2     |       L19450
                    |          |     |                          |              
5d5.6p              | 220981*  |   6 |             220981.4     |       L19450
                    |          |     |                          |              
5d5.6p              | 221227*  |   3 |             221227.0     |       L19450
                    |          |     |                          |              
5d5.6p              | 221390*  |   2 |             221390.7     |       L19450
                    |          |     |                          |              
5d5.6p              | 222371*  |   4 |             222371.61    |       L19450
                    |          |     |                          |              
5d5.6p              | 222697*  |   3 |             222697.77    |       L19450
                    |          |     |                          |              
5d5.(2H).6p         | 3I*      |   7 |             222933.1     |       L19450
                    |          |     |                          |              
