3d4.(a 3F).4p          | z 2F*  |  7/2 |              68759.7991    | L18847,L7185
                       |        |      |                            |              
3d4.(3G).4p            | y 4H*  |  7/2 |              68843.2727    | L18847,L7185
                       |        |  9/2 |              68992.3469    | L18847,L7185
                       |        | 11/2 |              69170.3527    | L18847,L7185
                       |        |      |                            |              
3d4.(a 3P).4p          | 2D*    |  3/2 |              69348.1427    | L18847,L7185
                       |        |      |                            |              
3d4.(3G).4p            | y 4H*  | 13/2 |              69388.1505    | L18847,L7185
                       |        |      |                            |              
3d4.(3G).4p            | 4F*    |  5/2 |              69477.9002    | L18847,L7185
                       |        |  9/2 |              69498.2137    | L18847,L7185
                       |        |  7/2 |              69506.0652    | L18847,L7185
                       |        |  3/2 |              69638.5906    | L18847,L7185
                       |        |      |                            |              
3d4.(a 3F).4p          | y 2G*  |  7/2 |              69903.4828    | L18847,L7185
                       |        |      |                            |              
3d4.(a 3P).4p          | 2D*    |  5/2 |              69954.0517    | L18847,L7185
                       |        |      |                            |              
3d4.(a 3F).4p          | y 2G*  |  9/2 |              70107.6226    | L18847,L7185
                       |        |      |                            |              
3d4.(3G).4p            | x 4G*  |  5/2 |              70316.8214    | L18847,L7185
                       |        |      |                            |              
3d4.(3G).4p            | y 2H*  |  9/2 |              70394.1455    | L18847,L7185
                       |        | 11/2 |              70398.7981    | L18847,L7185
                       |        |      |                            |              
3d4.(3G).4p            | x 4G*  |  7/2 |              70426.9907    | L18847,L7185
                       |        |      |                            |              
3d4.(3G).4p            | y 2F*  |  5/2 |              70584.3934    | L18847,L7185
                       |        |      |                            |              
3d4.(3G).4p            | x 4G*  |  9/2 |              70679.0907    | L18847,L7185
                       |        |      |                            |              
3d4.(3G).4p            | y 2F*  |  7/2 |              70852.1621    | L18847,L7185
                       |        |      |                            |              
3d4.(3G).4p            | x 4G*  | 11/2 |              70879.7225    | L18847,L7185
                       |        |      |                            |              
3d4.(3G).4p            | x 2G*  |  7/2 |              72648.5252    | L18847,L7185
                       |        |  9/2 |              72716.7178    | L18847,L7185
                       |        |      |                            |              
3d4.(3D).4p            | w 4D*  |  1/2 |              73406.8904    | L18847,L7185
                       |        |  3/2 |              73411.8807    | L18847,L7185
                       |        |  5/2 |              73436.1264    | L18847,L7185
                       |        |  7/2 |              73485.6078    | L18847,L7185
                       |        |      |                            |              
3d4.(a 1G).4p          | x 2F*  |  7/2 |              74114.3577    | L18847,L7185
                       |        |      |                            |              
3d4.(3D).4p            | w 4F*  |  3/2 |              74273.3409    | L18847,L7185
                       |        |  5/2 |              74318.8425    | L18847,L7185
                       |        |      |                            |              
3d4.(1I).4p            | 2I*    | 11/2 |              74421.7319    | L18847,L7185
                       |        |      |                            |              
3d4.(3D).4p            | w 4F*  |  7/2 |              74423.6741    | L18847,L7185
                       |        |      |                            |              
3d4.(1I).4p            | 2K*    | 13/2 |              74424.1497    | L18847,L7185
                       |        |      |                            |              
3d4.(a 1G).4p          | x 2F*  |  5/2 |              74436.1098    | L18847,L7185
                       |        |      |                            |              
3d4.(a 1G).4p          | x 2H*  |  9/2 |              74455.8028    | L18847,L7185
                       |        |      |                            |              
3d4.(3D).4p            | x 4P*  |  5/2 |              74483.9075    | L18847,L7185
                       |        |      |                            |              
3d4.(3D).4p            | w 4F*  |  9/2 |              74504.0990    | L18847,L7185
                       |        |      |                            |              
3d4.(a 1G).4p          | x 2H*  | 11/2 |              74707.3839    | L18847,L7185
                       |        |      |                            |              
3d4.(3D).4p            | x 4P*  |  3/2 |              74717.5574    | L18847,L7185
                       |        |      |                            |              
3d4.(1I).4p            | 2I*    | 13/2 |              74743.186     | L18847,L7185
                       |        |      |                            |              
3d4.(3D).4p            | y 2P*  |  1/2 |              74853.855     | L18847,L7185
                       |        |      |                            |              
3d4.(3D).4p            | x 4P*  |  1/2 |              74920.389     | L18847,L7185
                       |        |      |                            |              
3d4.(1I).4p            | 2K*    | 15/2 |              74958.8510    | L18847,L7185
                       |        |      |                            |              
3d4.(3D).4p            | y 2P*  |  3/2 |              74984.6964    | L18847,L7185
                       |        |      |                            |              
3d4.(a 1G).4p          | w 2G*  |  7/2 |              75716.4946    | L18847,L7185
                       |        |  9/2 |              75809.9745    | L18847,L7185
                       |        |      |                            |              
3d4.(3D).4p            | w 2F*  |  7/2 |              76878.9679    | L18847,L7185
                       |        |  5/2 |              76987.6447    | L18847,L7185
                       |        |      |                            |              
3d4.(1I).4p            | w 2H*  | 11/2 |              77078.8563    | L18847,L7185
                       |        |  9/2 |              77270.2178    | L18847,L7185
                       |        |      |                            |              
3d4.(a 1S).4p          | x 2P*  |  3/2 |              77713.274     | L18847,L7185
                       |        |  1/2 |              77777.296     | L18847,L7185
                       |        |      |                            |              
3d4.(3D).4p            | x 2D*  |  5/2 |              77935.1998    | L18847,L7185
                       |        |  3/2 |              78109.4665    | L18847,L7185
                       |        |      |                            |              
3d4.(a 1D).4p          | w 2D*  |  3/2 |              80288.020     | L18847,L7185
                       |        |  5/2 |              80420.1608    | L18847,L7185
                       |        |      |                            |              
3d4.(a 1D).4p          | v 2F*  |  5/2 |              81232.8788    | L18847,L7185
                       |        |  7/2 |              81432.2161    | L18847,L7185
                       |        |      |                            |              
3d3.(4F).4s.4p.(3P*)   | y 6D*  |  1/2 |              81648.64      |       L18847
                       |        |  3/2 |              81707.20      |       L18847
                       |        |      |                            |              
3d3.(4F).4s.4p.(3P*)   | y 6F*  |  1/2 |              81734.65      |       L18847
                       |        |      |                            |              
3d3.(4F).4s.4p.(3P*)   | y 6D*  |  5/2 |              81815.89      |       L18847
                       |        |      |                            |              
3d3.(4F).4s.4p.(3P*)   | y 6F*  |  3/2 |              81824.07      |       L18847
                       |        |  5/2 |              81961.87      |       L18847
                       |        |      |                            |              
3d3.(4F).4s.4p.(3P*)   | y 6D*  |  7/2 |              81977.44      |       L18847
                       |        |      |                            |              
3d3.(4F).4s.4p.(3P*)   | y 6F*  |  7/2 |              82142.641     |       L18847
                       |        |      |                            |              
3d3.(4F).4s.4p.(3P*)   | y 6D*  |  9/2 |              82192.18      |       L18847
                       |        |      |                            |              
3d3.(4F).4s.4p.(3P*)   | y 6F*  |  9/2 |              82362.045     |       L18847
                       |        | 11/2 |              82612.54      |       L18847
                       |        |      |                            |              
3d4.(5D).5s            | e 6D   |  1/2 |              82692.0128    |       L18847
                       |        |  3/2 |              82763.6664    |       L18847
                       |        |      |                            |              
3d4.(a 1D).4p          | w 2P*  |  1/2 |              82853.897     | L18847,L7185
                       |        |      |                            |              
3d4.(5D).5s            | e 6D   |  5/2 |              82881.0977    |       L18847
                       |        |      |                            |              
3d4.(a 1D).4p          | w 2P*  |  3/2 |              82919.9102    | L18847,L7185
                       |        |      |                            |              
3d4.(5D).5s            | e 6D   |  7/2 |              83041.3193    |       L18847
                       |        |  9/2 |              83240.4199    |       L18847
                       |        |      |                            |              
3d4.(5D).5s            | e 4D   |  1/2 |              84209.7833    |       L18847
                       |        |  3/2 |              84320.1382    |       L18847
                       |        |  5/2 |              84495.6133    |       L18847
                       |        |      |                            |              
3d4.(1F).4p            | u 2F*  |  5/2 |              84604.6448    | L18847,L7185
                       |        |  7/2 |              84677.1075    | L18847,L7185
                       |        |      |                            |              
3d4.(5D).5s            | e 4D   |  7/2 |              84726.6771    |       L18847
                       |        |      |                            |              
3d3.(4F).4s.4p.(3P*)   | u 4D*  |  1/2 |              85486.161     |       L18847
                       |        |      |                            |              
3d4.(1F).4p            | v 2G*  |  7/2 |              85573.1233    | L18847,L7185
                       |        |      |                            |              
3d3.(4F).4s.4p.(3P*)   | u 4D*  |  3/2 |              85586.522     |       L18847
                       |        |  5/2 |              85778.650     |       L18847
                       |        |      |                            |              
3d4.(1F).4p            | v 2G*  |  9/2 |              85939.0149    | L18847,L7185
                       |        |      |                            |              
3d3.(4F).4s.4p.(3P*)   | u 4D*  |  7/2 |              86078.817     |       L18847
                       |        |      |                            |              
3d4.(5D).4d            | e 4S   |  3/2 |              86165.2692    |       L18847
                       |        |      |                            |              
3d4.(1F).4p            | v 2D*  |  5/2 |              86507.3205    | L18847,L7185
                       |        |      |                            |              
3d3.(4F).4s.4p.(3P*)   | u 4G*  |  5/2 |              86566.459     |       L18847
                       |        |      |                            |              
3d4.(5D).4d            | e 6G   |  3/2 |              86594.3737    |       L18847
                       |        |  5/2 |              86654.1724    |       L18847
                       |        |      |                            |              
3d4.(5D).4d            | e 6P   |  3/2 |              86667.7179    |       L18847
                       |        |  5/2 |              86691.5178    |       L18847
                       |        |      |                            |              
3d4.(5D).4d            | e 6G   |  7/2 |              86738.2738    |       L18847
                       |        |      |                            |              
3d4.(5D).4d            | e 6P   |  7/2 |              86782.0490    |       L18847
                       |        |      |                            |              
3d3.(4F).4s.4p.(3P*)   | u 4G*  |  7/2 |              86797.245     |       L18847
