                      |        |   3 |            45113.0874    |     L18327,L7185
                      |        |     |                          |                  
3d4.(3F1).4s.4p.(3P*) | x 5F*  |   1 |            45201.6676    |     L18327,L7185
                      |        |   2 |            45225.0686    |     L18327,L7185
                      |        |   3 |            45255.3842    |     L18327,L7185
                      |        |   4 |            45285.9649    |     L18327,L7185
                      |        |   5 |            45306.3417    |     L18327,L7185
                      |        |     |                          |                  
3d5.(4G).4p           | z 3H*  |   6 |            45348.6792    |     L18327,L7185
                      |        |   5 |            45354.1500    |     L18327,L7185
                      |        |   4 |            45358.5837    |     L18327,L7185
                      |        |     |                          |                  
3d5.(4G).4p           | y 5H*  |   3 |            45566.0035    |     L18327,L7185
                      |        |   4 |            45614.8444    |     L18327,L7185
                      |        |     |                          |                  
3d5.(6S).6s           | f 7S   |   3 |            45643.231     |     L18327,L7185
                      |        |     |                          |                  
3d5.(4G).4p           | y 5H*  |   5 |            45663.2579    |     L18327,L7185
                      |        |   6 |            45707.3259    |     L18327,L7185
                      |        |     |                          |                  
3d5.(4P).4p           | y 3P*  |   1 |            45719.2168    |     L18327,L7185
                      |        |   0 |            45722.522     |     L18327,L7185
                      |        |   2 |            45734.2670    |     L18327,L7185
                      |        |     |                          |                  
3d5.(4G).4p           | y 5H*  |   7 |            45741.4701    |     L18327,L7185
                      |        |     |                          |                  
3d5.(4G).4p           | y 3F*  |   2 |            45966.3597    |     L18327,L7185
                      |        |     |                          |                  
3d5.(6S).6s           | f 5S   |   2 |            45967.8057    |           L18327
                      |        |     |                          |                  
3d5.(4G).4p           | y 3F*  |   3 |            46000.4213    |     L18327,L7185
                      |        |   4 |            46058.1980    |     L18327,L7185
                      |        |     |                          |                  
3d5.(4P).4p           | y 3D*  |   1 |            46077.0395    |     L18327,L7185
                      |        |     |                          |                  
3d4.(3F1).4s.4p.(3P*) | w 5D*  |   0 |            46081.255     |     L18327,L7185
                      |        |     |                          |                  
3d5.(4P).4p           | y 3D*  |   2 |            46109.2219    |     L18327,L7185
                      |        |   3 |            46174.3884    |     L18327,L7185
                      |        |     |                          |                  
3d4.(3F1).4s.4p.(3P*) | w 5D*  |   1 |            46298.2442    |     L18327,L7185
                      |        |   2 |            46349.4177    |     L18327,L7185
                      |        |   3 |            46368.2695    |     L18327,L7185
                      |        |   4 |            46422.4223    |     L18327,L7185
                      |        |     |                          |                  
3d4.4s.5s             | f 7D   |   1 |            46448.6289    |     L18327,L7185
                      |        |   2 |            46524.9187    |     L18327,L7185
                      |        |   3 |            46637.2307    |     L18327,L7185
                      |        |     |                          |                  
3d4.(3G).4s.4p.(3P*)  | w 5F*  |   2 |            46677.1634    |     L18327,L7185
                      |        |   1 |            46678.375     |     L18327,L7185
                      |        |   3 |            46688.2265    |     L18327,L7185
                      |        |   5 |            46704.9067    |     L18327,L7185
                      |        |   4 |            46720.4711    |     L18327,L7185
                      |        |     |                          |                  
3d4.4s.5s             | f 7D   |   4 |            46783.0528    |     L18327,L7185
                      |        |     |                          |                  
3d4.(3H).4s.4p.(3P*)  | z 3G*  |   3 |            46846.7480    |     L18327,L7185
                      |        |     |                          |                  
3d5.(4P).4p           | u 5P*  |   3 |            46878.558     |     L18327,L7185
                      |        |     |                          |                  
3d4.(3H).4s.4p.(3P*)  | z 3G*  |   4 |            46905.0382    |     L18327,L7185
                      |        |     |                          |                  
3d4.4s.5s             | f 7D   |   5 |            46959.0255    |     L18327,L7185
                      |        |     |                          |                  
3d5.(4P).4p           | u 5P*  |   2 |            46967.6827    |     L18327,L7185
                      |        |     |                          |                  
3d4.(3H).4s.4p.(3P*)  | z 3G*  |   5 |            46985.8465    |     L18327,L7185
                      |        |     |                          |                  
3d5.(4P).4p           | u 5P*  |   1 |            47021.7112    |     L18327,L7185
                      |        |     |                          |                  
3d4.(3H).4s.4p.(3P*)  | x 5G*  |   2 |            47047.4845    |     L18327,L7185
                      |        |     |                          |                  
3d5.(4G).4p           | y 3G*  |   3 |            47048.4161    |     L18327,L7185
                      |        |   4 |            47054.9072    |     L18327,L7185
                      |        |   5 |            47055.3416    |     L18327,L7185
                      |        |     |                          |                  
3d4.(3P1).4s.4p.(3P*) | z 3S*  |   1 |            47088.389     |     L18327,L7185
                      |        |     |                          |                  
3d4.(3H).4s.4p.(3P*)  | x 5G*  |   3 |            47125.6412    |     L18327,L7185
                      |        |   4 |            47189.9110    |     L18327,L7185
                      |        |   6 |            47222.2081    |     L18327,L7185
                      |        |   5 |            47228.7599    |     L18327,L7185
                      |        |     |                          |                  
3d4.(3H).4s.4p.(3P*)  | z 3I*  |   5 |            47586.0318    |     L18327,L7185
                      |        |     |                          |                  
3d4.(3G).4s.4p.(3P*)  | x 5H*  |   3 |            47621.363     |     L18327,L7185
                      |        |     |                          |                  
3d4.(5D).4s.5p.(3P*)  | v 5F*  |   1 |            47629.672     |           L18327
                      |        |     |                          |                  
3d4.(3H).4s.4p.(3P*)  | z 3I*  |   6 |            47630.3750    |     L18327,L7185
                      |        |     |                          |                  
3d4.(5D).4s.5p.(3P*)  | v 5F*  |   2 |            47631.6771    |           L18327
                      |        |   3 |            47636.4837    |           L18327
                      |        |   4 |            47640.0627    |     L18327,L7185
                      |        |   5 |            47644.9429    |           L18327
                      |        |     |                          |                  
3d4.(3G).4s.4p.(3P*)  | x 5H*  |   4 |            47688.489     |     L18327,L7185
                      |        |     |                          |                  
3d4.(3H).4s.4p.(3P*)  | z 3I*  |   7 |            47692.5894    |     L18327,L7185
                      |        |     |                          |                  
3d5.(6S).6p           | w 7P*  |   2 |            47698.6       |           L18327
                      |        |     |                          |                  
3d5.(6S).5d           | g 7D   |   1 |            47700.1       |           L18327
                      |        |   2 |            47700.905     |           L18327
                      |        |   3 |            47702.390     |           L18327
                      |        |   4 |            47704.62      |           L18327
                      |        |     |                          |                  
3d5.(6S).6p           | w 7P*  |   3 |            47708.35      |           L18327
                      |        |     |                          |                  
3d5.(6S).5d           | g 7D   |   5 |            47709.848     |           L18327
                      |        |     |                          |                  
3d5.(6S).6p           | w 7P*  |   4 |            47719.18      |           L18327
                      |        |     |                          |                  
3d5.(4P).4p           | v 5D*  |   1 |            47772.2702    |     L18327,L7185
                      |        |   2 |            47786.0959    |     L18327,L7185
                      |        |   0 |            47787.993     |     L18327,L7185
                      |        |     |                          |                  
3d4.(3G).4s.4p.(3P*)  | x 5H*  |   5 |            47793.715     |     L18327,L7185
                      |        |     |                          |                  
3d5.(4P).4p           | v 5D*  |   3 |            47814.3823    |     L18327,L7185
                      |        |   4 |            47866.4604    |     L18327,L7185
                      |        |     |                          |                  
3d5.(4G).4p           | u 5F*  |   1 |            47877.596     |     L18327,L7185
                      |        |   2 |            47917.9197    |     L18327,L7185
                      |        |     |                          |                  
3d4.(3G).4s.4p.(3P*)  | x 5H*  |   6 |            47942.1990    |     L18327,L7185
                      |        |     |                          |                  
3d5.(4G).4p           | u 5F*  |   3 |            47974.5512    |     L18327,L7185
                      |        |   5 |            47985.787     |     L18327,L7185
                      |        |   4 |            48014.3731    |     L18327,L7185
                      |        |     |                          |                  
