5d6.6p           | 138227*  |  5/2 |             138227.49    |       L19453
                 |          |      |                          |              
5d6.6p           | 138578*  |  9/2 |             138578.51    |       L19453
                 |          |      |                          |              
5d6.6p           | 139497*  |  5/2 |             139497.68    |       L19453
                 |          |      |                          |              
5d6.6p           | 140351*  |  3/2 |             140351.51    |       L19453
                 |          |      |                          |              
5d6.(5D).6p      | 4F*      |  7/2 |             140542.20    |       L19453
                 |          |      |                          |              
5d6.6p           | 141178*  |  5/2 |             141178.79    |       L19453
                 |          |      |                          |              
5d6.6p           | 141513*  |  1/2 |             141513.93    |       L19453
                 |          |      |                          |              
5d6.6p           | 141777*  |  3/2 |             141777.6     |       L19453
                 |          |      |                          |              
5d6.6p           | 142072*  |  5/2 |             142072.80    |       L19453
                 |          |      |                          |              
5d6.6p           | 142674*  |  3/2 |             142674.01    |       L19453
                 |          |      |                          |              
5d6.(3H).6p      | 4I*      |  9/2 |             143380.12    |       L19453
                 |          |      |                          |              
5d6.6p           | 143636*  |  7/2 |             143636.45    |       L19453
                 |          |      |                          |              
5d6.(5D).6p      | 4P*      |  1/2 |             143827.41    |       L19453
                 |          |  3/2 |             143980.46    |       L19453
                 |          |      |                          |              
5d6.6p           | 144404*  |  9/2 |             144404.40    |       L19453
                 |          |      |                          |              
5d6.6p           | 144509*  |  3/2 |             144509.01    |       L19453
                 |          |      |                          |              
5d6.6p           | 145987*  |  7/2 |             145987.82    |       L19453
                 |          |      |                          |              
5d6.6p           | 146243*  |  5/2 |             146243.19    |       L19453
                 |          |      |                          |              
5d6.6p           | 146867*  | 11/2 |             146867.79    |       L19453
                 |          |      |                          |              
5d6.6p           | 146950*  |  7/2 |             146950.72    |       L19453
                 |          |      |                          |              
5d6.6p           | 147173*  |  9/2 |             147173.08    |       L19453
                 |          |      |                          |              
5d6.6p           | 147480*  |  1/2 |             147480.52    |       L19453
                 |          |      |                          |              
5d6.6p           | 147505*  | 11/2 |             147505.21    |       L19453
                 |          |      |                          |              
5d6.(3G).6p      | 4H*      |  7/2 |             148306.49    |       L19453
                 |          |      |                          |              
5d6.6p           | 148824*  |  5/2 |             148824.89    |       L19453
                 |          |      |                          |              
5d6.6p           | 149482*  |  3/2 |             149482.21    |       L19453
                 |          |      |                          |              
5d6.6p           | 149568*  |  9/2 |             149568.12    |       L19453
                 |          |      |                          |              
5d6.6p           | 149868*  |  1/2 |             149868.9     |       L19453
                 |          |      |                          |              
5d6.6p           | 150072*  | 13/2 |             150072.82    |       L19453
                 |          |      |                          |              
5d6.6p           | 150749*  |  5/2 |             150749.16    |       L19453
                 |          |      |                          |              
5d6.6p           | 150765*  |  7/2 |             150765.44    |       L19453
                 |          |      |                          |              
5d6.(3H).6p      | 4I*      | 15/2 |             150825.70    |       L19453
                 |          |      |                          |              
5d6.6p           | 150882*  | 11/2 |             150882.19    |       L19453
                 |          |      |                          |              
5d6.6p           | 152149*  |  7/2 |             152149.93    |       L19453
                 |          |      |                          |              
5d6.6p           | 152150*  |  5/2 |             152150.12    |       L19453
                 |          |      |                          |              
5d6.6p           | 152435*  |  9/2 |             152435.15    |       L19453
                 |          |      |                          |              
5d6.6p           | 152593*  | 13/2 |             152593.95    |       L19453
                 |          |      |                          |              
5d6.(3P2).6p     | 4D*      |  3/2 |             153299.41    |       L19453
                 |          |      |                          |              
5d6.6p           | 153491*  |  7/2 |             153491.65    |       L19453
                 |          |      |                          |              
5d6.6p           | 153664*  | 13/2 |             153664.83    |       L19453
                 |          |      |                          |              
5d6.6p           | 153675*  |  1/2 |             153675.34    |       L19453
                 |          |      |                          |              
5d6.6p           | 153943*  | 11/2 |             153943.40    |       L19453
                 |          |      |                          |              
5d6.6p           | 154011*  |  5/2 |             154011.64    |       L19453
                 |          |      |                          |              
5d6.6p           | 154417*  |  5/2 |             154417.27    |       L19453
                 |          |      |                          |              
5d6.6p           | 154545*  |  9/2 |             154545.18    |       L19453
                 |          |      |                          |              
5d6.6p           | 154812*  |  3/2 |             154812.93    |       L19453
                 |          |      |                          |              
5d6.6p           | 155611*  |  3/2 |             155611.74    |       L19453
                 |          |      |                          |              
5d6.6p           | 155693*  |  7/2 |             155693.90    |       L19453
                 |          |      |                          |              
5d6.6p           | 156140*  |  5/2 |             156140.40    |       L19453
                 |          |      |                          |              
5d6.6p           | 156353*  |  1/2 |             156353.05    |       L19453
                 |          |      |                          |              
5d6.6p           | 157002*  |  7/2 |             157002.00    |       L19453
                 |          |      |                          |              
5d6.6p           | 157285*  |  9/2 |             157285.90    |       L19453
                 |          |      |                          |              
5d6.6p           | 157690*  |  5/2 |             157690.6     |       L19453
                 |          |      |                          |              
5d6.6p           | 158278*  | 11/2 |             158278.89    |       L19453
                 |          |      |                          |              
5d6.6p           | 158558*  |  9/2 |             158558.94    |       L19453
                 |          |      |                          |              
5d6.6p           | 158563*  |  7/2 |             158563.95    |       L19453
                 |          |      |                          |              
5d6.(3F2).6p     | 4D*      |  1/2 |             158680.43    |       L19453
                 |          |      |                          |              
5d6.6p           | 159194*  |  3/2 |             159194.93    |       L19453
                 |          |      |                          |              
5d6.6p           | 159746*  |  5/2 |             159746.50    |       L19453
                 |          |      |                          |              
5d6.6p           | 160266*  |  7/2 |             160266.80    |       L19453
