                     |        |     |                   |                    |                                                         |
3d5.(2I).4p          | 1H*    |   5 |   131710.73       |              0.10  |  67                        :    14  3d5.(2I).4p    3I*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(2I).4p          | 1K*    |   7 |   131991.74       |              0.15  |  95                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(a 2D).4p        | 3F*    |   3 |   132080.04       |              0.09  |  43                        :    24  3d5.(a 2F).4p  3F*  |      L11223
                     |        |   2 |   132105.12       |              0.09  |  31                        :    21  3d5.(a 2D).4p  1D*  |      L11223
                     |        |   4 |   132785.41       |              0.09  |  46                        :    22  3d5.(a 2F).4p  3F*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(2I).4p          | 3H*    |   6 |   132262.65       |              0.10  |  90                                                     |      L11223
                     |        |   5 |   132564.91       |              0.10  |  84                        :     8  3d5.(2I).4p    1H*  |      L11223
                     |        |   4 |   132659.48       |              0.09  |  89                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(a 2D).4p        | 3P*    |   2 |   134265.49       |              0.09  |  47                        :    15  3d5.(a 2F).4p  3D*  |      L11223
                     |        |   1 |   134549.41       |              0.11  |  36                        :    24  3d5.(a 2D).4p  3D*  |      L11223
                     |        |   0 |   135088.55       |              0.11  |  68                        :    21  3d5.(c 2D).4p  3P*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(a 2F).4p        | 1G*    |   4 |   134360.41       |              0.09  |  49                        :    17  3d5.(a 2F).4p  3G*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(2P).4s          | 1P     |   1 |   134443.91       |              0.14  |  99                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(a 2F).4p        | 3G*    |   3 |   134549.01       |              0.09  |  49                        :    19  3d5.(a 2D).4p  1F*  |      L11223
                     |        |   5 |   135316.64       |              0.10  |  43                        :    43  3d5.(4F).4p    5G*  |      L11223
                     |        |   4 |   135554.39       |              0.10  |  49                        :    38  3d5.(a 2F).4p  3F*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4F).4p          | 5G*    |   2 |   134938.17       |              0.10  |  60                        :    14  3d5.(a 2D).4p  3D*  |      L11223
                     |        |   3 |   135097.01       |              0.09  |  60                        :     9  3d5.(a 2D).4p  3D*  |      L11223
                     |        |   4 |   135239.84       |              0.10  |  83                        :     5  3d5.(a 2F).4p  1G*  |      L11223
                     |        |   5 |   135735.43       |              0.11  |  49                        :    48  3d5.(a 2F).4p  3G*  |      L11223
                     |        |   6 |   135739.64       |              0.11  |  87                        :    10  3d5.(2I).4p    1I*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(a 2D).4p        | 3D*    |   3 |   134976.04       |              0.10  |  39                        :    20  3d5.(4F).4p    5G*  |      L11223
                     |        |   1 |   135217.18       |              0.10  |  37                        :    26  3d5.(a 2D).4p  3P*  |      L11223
                     |        |   2 |   135278.97       |              0.10  |  38                        :    26  3d5.(4F).4p    5G*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(2I).4p          | 1I*    |   6 |   135582.12       |              0.11  |  84                        :     9  3d5.(4F).4p    5G*  |      L11223
                     |        |     |                   |                    |                                                         |
