                       | 459    |    3 |          45994.60    |         L3466
                       |        |      |                      |               
                       | 460    |    2 |          46056.21    |         L3466
                       |        |      |                      |               
                       | 461*   |    2 |          46170.12    |         L3466
                       |        |      |                      |               
                       | 461    |    2 |          46183.08    |         L3466
                       |        |      |                      |               
                       | 462    |    3 |          46280.26    |         L3466
                       |        |    4 |          46282.34    |         L3466
                       |        |      |                      |               
                       | 464    |    2 |          46437.72    |         L3466
                       |        |      |                      |               
                       | 467*   |    3 |          46775.98?   |         L3466
                       |        |      |                      |               
                       | 468    |    2 |          46860.75    |         L3466
                       |        |      |                      |               
                       | 469    |    2 |          46961.96    |         L3466
                       |        |    3 |          46966.61    |         L3466
                       |        |      |                      |               
                       | 469*   |    2 |          46981.20    |         L3466
                       |        |      |                      |               
                       | 469    |    4 |          46992.38    |         L3466
                       |        |      |                      |               
                       | 473    |    2 |          47304.97    |         L3466
                       |        |    3 |          47345.93    |         L3466
                       |        |      |                      |               
                       | 475*   |    3 |          47590.09    |         L3466
                       |        |      |                      |               
                       | 476    |    4 |          47606.21    |         L3466
                       |        |      |                      |               
                       | 477    |    2 |          47702.41    |         L3466
                       |        |      |                      |               
                       | 478    |    1 |          47874.44    |         L3466
                       |        |      |                      |               
                       | 479    |    3 |          47938.44    |         L3466
                       |        |      |                      |               
                       | 480    |    4 |          48022.20    |         L3466
                       |        |      |                      |               
                       | 480*   |    4 |          48047.90    |         L3466
                       |        |      |                      |               
                       | 480    |    3 |          48049.43    |         L3466
                       |        |      |                      |               
                       | 481    |    1 |          48129.57    |         L3466
                       |        |      |                      |               
                       | 483    |    3 |          48319.08    |         L3466
                       |        |    4 |          48356.90    |         L3466
                       |        |      |                      |               
                       | 484    |    2 |          48407.27    |         L3466
                       |        |      |                      |               
                       | 485    |    2 |          48594.84    |         L3466
                       |        |    3 |          48598.99    |         L3466
                       |        |      |                      |               
                       | 487    |    2 |          48708.40    |         L3466
                       |        |      |                      |               
                       | 4880   |    3 |          48809.77    |         L3466
                       |        |      |                      |               
                       | 4886   |    3 |          48869.43    |         L3466
                       |        |      |                      |               
                       | 489*   |    2 |          48951.97    |         L3466
                       |        |      |                      |               
                       | 490    |    4 |          49005.35    |         L3466
                       |        |      |                      |               
                       | 495    |    5 |          49540.65    |         L3466
                       |        |      |                      |               
                       | 496    |    4 |          49623.40    |         L3466
                       |        |      |                      |               
                       | 497    |    3 |          49791.86    |         L3466
                       |        |      |                      |               
                       | 503    |    4 |          50393.21    |         L3466
                       |        |      |                      |               
                       | 514    |    5 |          51408.65    |         L3466
