                     |        |      |                       |             
4d5.(4G).5s.(5G).5p  | 4F*    |  5/2 |           40299.14    | L149,L14280
                     |        |      |                       |             
4d5.(4G).5s.(5G).5p  | 4H*    |  9/2 |           40403.19    | L149,L14280
                     |        |      |                       |             
4d5.(4D).5s.(5D).5p  | 6P*    |  7/2 |           40406.40    | L149,L14280
                     |        |      |                       |             
4d5.(4G).5s.(5G).5p  | 4H*    | 13/2 |           40529.40    |      L14280
                     |        |      |                       |             
4d6.(3P2).5p         | 2D*    |  5/2 |           40821.29    | L149,L14280
                     |        |      |                       |             
4d6.(3D).5p          | 4D*    |  1/2 |           40829.39    | L149,L14280
                     |        |      |                       |             
4d6.(3P2).5p         | 4S*    |  3/2 |           41073.16    | L149,L14280
                     |        |      |                       |             
4d6.(3H).5p          | 2G*    |  7/2 |           41088.50    | L149,L14280
                     |        |      |                       |             
4d5.(4P).5s.(5P).5p  | 6P*    |  5/2 |           41100.21    | L149,L14280
                     |        |      |                       |             
4d6.(3D).5p          | 4F*    |  3/2 |           41250.90    | L149,L14280
                     |        |      |                       |             
4d6.(3F2).5p         | 4D*    |  7/2 |           41529.11    | L149,L14280
                     |        |      |                       |             
4d6.(3H).5p          | 4G*    | 11/2 |           41580.75    | L149,L14280
                     |        |      |                       |             
4d5.(4D).5s.(5D).5p  | 6F*    |  3/2 |           41625.52    | L149,L14280
                     |        |      |                       |             
4d6.(3H).5p          | 2G*    |  9/2 |           41703.59    | L149,L14280
                     |        |      |                       |             
4d6.(3F2).5p         | 4G*    |  7/2 |           41729.87    | L149,L14280
                     |        |  5/2 |           41764.26    | L149,L14280
                     |        |      |                       |             
4d5.(4P).5s.(5P).5p  | 6P*    |  3/2 |           41788.77    | L149,L14280
                     |        |      |                       |             
4d6.(3H).5p          | 4G*    |  9/2 |           41896.99    | L149,L14280
                     |        |  5/2 |           41922.68    | L149,L14280
                     |        |  7/2 |           41993.08    | L149,L14280
                     |        |      |                       |             
4d6.(3F2).5p         | 4G*    | 11/2 |           42032.57    | L149,L14280
                     |        |      |                       |             
4d6.(3D).5p          | 4F*    |  5/2 |           42102.82    | L149,L14280
                     |        |      |                       |             
4d5.(4D).5s.(5D).5p  | 6F*    |  9/2 |           42217.08    | L149,L14280
                     |        |      |                       |             
4d6.(3D).5p          | 4D*    |  3/2 |           42217.33    | L149,L14280
                     |        |      |                       |             
4d5.(4D).5s.(5D).5p  | 6F*    |  7/2 |           42246.21    | L149,L14280
                     |        |  5/2 |           42250.66    | L149,L14280
                     |        |      |                       |             
4d6.(3F2).5p         | 4D*    |  5/2 |           42294.46    | L149,L14280
                     |        |      |                       |             
4d5.(4D).5s.(5D).5p  | 6F*    | 11/2 |           42444.33    | L149,L14280
                     |        |      |                       |             
4d6.(3H).5p          | 2I*    | 13/2 |           42474.75    | L149,L14280
                     |        |      |                       |             
4d6.(3D).5p          | 4F*    |  7/2 |           42523.12    | L149,L14280
                     |        |      |                       |             
4d6.(3G).5p          | 4G*    |  9/2 |           42545.01    | L149,L14280
                     |        |      |                       |             
4d6.(3G).5p          | 2H*    | 11/2 |           42600.59    | L149,L14280
                     |        |  9/2 |           42613.90    | L149,L14280
                     |        |      |                       |             
4d6.(3G).5p          | 4G*    |  5/2 |           42696.45    | L149,L14280
                     |        |  7/2 |           42771.82    | L149,L14280
                     |        |      |                       |             
                     | 5*     | 11/2 |           42773.99    |        L149
                     |        |      |                       |             
4d5.(4D).5s.(5D).5p  | 6D*    |  9/2 |           42817.00    | L149,L14280
                     |        |      |                       |             
4d6.(5D).6s          | e 6D   |  9/2 |           42855.24    |        L149
                     |        |      |                       |             
                     | 1*     |  3/2 |           42901.59    | L149,L14280
                     |        |      |                       |             
4d5.(4D).5s.(5D).5p  | 4D*    |  5/2 |           42905.60    | L149,L14280
                     |        |      |                       |             
4d6.(3H).5p          | 4I*    | 15/2 |           42996.15    |      L14280
                     |        |      |                       |             
4d5.(4D).5s.(5D).5p  | 6D*    |  5/2 |           43011.14    | L149,L14280
                     |        |      |                       |             
4d6.(3G).5p          | 2F*    |  7/2 |           43077.33    | L149,L14280
                     |        |      |                       |             
4d6.(3D).5p          | 4F*    |  9/2 |           43097.77    | L149,L14280
                     |        |      |                       |             
4d6.(3H).5p          | 4I*    | 11/2 |           43172.19    | L149,L14280
                     |        | 13/2 |           43197.60    | L149,L14280
                     |        |  9/2 |           43265.51    | L149,L14280
                     |        |      |                       |             
4d5.(4D).5s.(5D).5p  | 6D*    |  7/2 |           43267.16    | L149,L14280
                     |        |      |                       |             
4d6.(5D).6s          | e 6D   |  7/2 |           43391.76    |        L149
                     |        |      |                       |             
4d6.(3H).5p          | 4H*    | 11/2 |           43512.49    | L149,L14280
                     |        |      |                       |             
4d6.(3F2).5p         | 2F*    |  5/2 |           43546.50    | L149,L14280
                     |        |      |                       |             
4d6.(3P2).5p         | 2D*    |  3/2 |           43558.99    |      L14280
                     |        |      |                       |             
4d6.(3F2).5p         | 4F*    |  9/2 |           43649.73    | L149,L14280
                     |        |      |                       |             
4d5.(4D).5s.(5D).5p  | 6D*    |  3/2 |           43793.91    |      L14280
                     |        |      |                       |             
4d6.(5D).6s          | e 6D   |  5/2 |           43796.70    |        L149
                     |        |      |                       |             
4d6.(3F2).5p         | 2F*    |  7/2 |           43805.25    | L149,L14280
                     |        |      |                       |             
4d6.(3H).5p          | 4H*    | 13/2 |           43857.24    | L149,L14280
                     |        |  7/2 |           43905.73    | L149,L14280
                     |        |  9/2 |           43971.81    | L149,L14280
                     |        |      |                       |             
4d6.(3D).5p          | 2D*    |  5/2 |           44007.00    | L149,L14280
                     |        |      |                       |             
4d6.(5D).6s          | e 6D   |  3/2 |           44028.92    |        L149
                     |        |      |                       |             
4d6.(3F2).5p         | 4F*    |  7/2 |           44090.55    | L149,L14280
                     |        |      |                       |             
4d6.(5D).6s          | e 4D   |  7/2 |           44101.99    |        L149
                     |        |      |                       |             
