4f.(2F*).5d2.(1G)          | *         | 11/2 |          14963.100    |            
                           |           |      |                       |             
4f2.(3F).5d                |           |  9/2 |          15134.048    |            
                           |           |      |                       |             
4f2.(3F).5d                | 4F        |  3/2 |          15235.579    |            
                           |           |      |                       |             
4f2.(3F).5d                | 4H        | 13/2 |          15281.602    |            
                           |           |      |                       |             
4f2.(3F).5d                |           |  5/2 |          15434.699    |            
                           |           |      |                       |             
4f2.(3F).5d                | 4D        |  1/2 |          15510.786    |            
                           |           |      |                       |             
4f.(2F*).5d2.(1G)          | 2I*       | 13/2 |          15517.772    |            
                           |           |      |                       |             
4f2.(3F).5d                | 4D        |  5/2 |          15529.576    |            
                           |           |      |                       |             
4f.5d.(3D*).6s             | *         |  5/2 |          15565.420    |            
                           |           |      |                       |             
4f2.(3F).5d                | 4D        |  3/2 |          15576.568    |            
                           |           |      |                       |             
4f2.(3H).5d                | 2K        | 13/2 |          15593.660    |            
                           |           |      |                       |             
4f2.(3H).5d                |           |  9/2 |          15803.310    |            
                           |           |      |                       |             
4f2.(3F).5d                |           |  7/2 |          15822.059    |            
                           |           |      |                       |             
4f2.(3H).5d                |           |  9/2 |          15859.363    |            
                           |           |      |                       |             
4f2.(1D).6s                | 2D        |  5/2 |          16133.194    |            
                           |           |      |                       |             
4f2.(3F).5d                | 4D        |  7/2 |          16152.377    |            
                           |           |      |                       |             
4f.(2F*).5d2.(1D)          | *         |  7/2 |          16159.536    |            
                           |           |      |                       |             
4f.5d.(1H*).6s             | 2H*       |  9/2 |          16192.466    |            
                           |           |      |                       |             
4f2.(1D).6s                | 2D        |  3/2 |          16268.673    |            
                           |           |      |                       |             
4f2.(1D).6s                |           |  5/2 |          16454.555    |            
                           |           |      |                       |             
4f2.(3F).5d                | 4G        | 11/2 |          16545.269    |            
                           |           |      |                       |             
4f2.(3F).5d                |           |  7/2 |          17000.007    |            
                           |           |      |                       |             
4f.5d.(1H*).6s             | 2H*       | 11/2 |          17171.245    |            
                           |           |      |                       |             
4f2.(3H).5d                | 2K        | 15/2 |          17232.652    |            
                           |           |      |                       |             
4f.(2F*).5d2.(3P)          | *         |  7/2 |          17300.310    |            
                           |           |      |                       |             
4f.(2F*).5d2.(3P)          | *         |  9/2 |          17475.023    |            
                           |           |      |                       |             
4f2.(3F).5d                | 4F        |  9/2 |          17571.401    |            
                           |           |      |                       |             
4f.5d.(1P*).6s             | 2P*       |  1/2 |          17851.80     |            
                           |           |      |                       |             
4f2.(1G).5d                | 2D        |  5/2 |          17976.413    |            
                           |           |      |                       |             
4f.(2F*).5d2.(1G)          | 2D*       |  5/2 |          18147.005    |            
                           |           |      |                       |             
4f2.(3F).5d                |           |  7/2 |          18393.327    |            
                           |           |      |                       |             
4f2.(1G).5d                | 2I        | 11/2 |          18704.313    |            
                           |           |      |                       |             
4f.(2F*).5d2.(3P)          | 2F*       |  5/2 |          19136.024    |            
                           |           |      |                       |             
4f.5d.(1P*).6s             | 2P*       |  3/2 |          19138.534    |            
                           |           |      |                       |             
4f2.(3F).5d                | 2H        |  9/2 |          19481.040    |            
                           |           |      |                       |             
4f2.(1G).5d                | 2F        |  5/2 |          19483.225    |            
                           |           |      |                       |             
4f.(2F*).5d2.(3P)          | 2F*       |  7/2 |          19920.813    |            
                           |           |      |                       |             
4f.(2F*).5d2.(1G)          | 2P*       |  3/2 |          19946.568    |            
                           |           |      |                       |             
4f2.(1G).5d                | 2I        | 13/2 |          19950.340    |            
                           |           |      |                       |             
4f2.(3F).5d                |           |  9/2 |          19982.187    |            
                           |           |      |                       |             
4f2.(3F).5d                | 2H        | 11/2 |          20554.596    |            
                           |           |      |                       |             
4f2.(3P).6s                | 4P        |  5/2 |          20714.959    |            
                           |           |      |                       |             
4f2.(1I).6s                | 2I        | 11/2 |          20783.79     |            
                           |           | 13/2 |          20881.327    |            
                           |           |      |                       |             
4f2.(1G).5d                |           |  7/2 |          20940.839    |            
                           |           |      |                       |             
4f2.(3P).6s                | 2P        |  3/2 |          21373.623    |            
                           |           |      |                       |             
4f2.(3P).5d                |           |  3/2 |          22290.320    |            
                           |           |      |                       |             
4f2.(3P).5d                |           |  5/2 |          22576.170    |            
                           |           |      |                       |             
4f2.(3P).5d                |           |  3/2 |          22903.974    |            
                           |           |      |                       |             
4f2.(3P).5d                | 4P        |  5/2 |          23200.331    |            
                           |           |      |                       |             
4f2.(3P).5d                |           |  7/2 |          23267.351    |            
                           |           |      |                       |             
4f2.(1D).5d                |           |  3/2 |          23508.880    |            
                           |           |      |                       |             
4f2.(3P).5d                |           |  9/2 |          23640.563    |            
                           |           |      |                       |             
4f2.(1D).5d                |           |  5/2 |          23782.988    |            
                           |           |      |                       |             
4f2.(1D).5d                |           |  7/2 |          24153.466    |            
                           |           |      |                       |             
4f2.(1D).5d                |           |  5/2 |          24500.756    |            
                           |           |      |                       |             
4f.5d.(1G*).6p             |           |  9/2 |          24663.053    |            
                           |           |      |                       |             
4f2.(1D).5d                |           |  7/2 |          24819.334    |            
                           |           |      |                       |             
4f2.(3P).5d                |           |  3/2 |          25099.482    |            
                           |           |      |                       |             
4f.5d.(3F*).6p             | 4G        |  5/2 |          25359.686    |            
                           |           |      |                       |             
4f2.(3P).5d                | 4F        |  9/2 |          25361.674    |            
                           |           |      |                       |             
4f2.(1I).5d                | 2I        | 11/2 |          25492.251    |            
                           |           |      |                       |             
4f.5d.(3F*).6p             |           |  3/2 |          25681.488    |            
                           |           |      |                       |             
4f2.(1I).5d                | 2I        | 13/2 |          25753.492    |            
                           |           |      |                       |             
4f2.(3H<4>).6p<1/2>        | (4,1/2)*  |  9/2 |          25766.355    |            
                           |           |      |                       |             
4f.5d.(1G*).6p             |           |  7/2 |          25945.396    |            
                           |           |      |                       |             
4f2.(3H<4>).6p<1/2>        | (4,1/2)*  |  7/2 |          26268.203    |            
                           |           |      |                       |             
4f2.(3P).5d                | 4D        |  1/2 |          26351.911    |            
                           |           |  3/2 |          26479.921    |            
                           |           |  5/2 |          26817.940    |            
                           |           |      |                       |             
4f.5d.(3H*).6p             |           |  9/2 |          26841.384    |            
                           |           |      |                       |             
4f.5d.(3H*).6p             |           |  7/2 |          26900.354    |            
                           |           |      |                       |             
4f.5d.(3F*).6p             | 4G        |  7/2 |          27187.047    |            
                           |           |      |                       |             
4f.5d.(3F*).6p             | 4F        |  5/2 |          27249.669    |            
                           |           |      |                       |             
4f2.(1I).5d                | 2L        | 15/2 |          27353.67     |            
                           |           |      |                       |             
4f2.(3H<5>).6p<1/2>        | (5,1/2)*  | 11/2 |          27378.515    |            
                           |           |      |                       |             
4f.5d.(1G*).6p             |           | 11/2 |          27379.949    |            
                           |           |      |                       |             
4f2.(3H<4>).6p<3/2>        | (4,3/2)*  |  9/2 |          27432.782    |            
                           |           |      |                       |             
4f2.(3P).5d                | 4D        |  7/2 |          27514.660    |            
                           |           |      |                       |             
4f2.(1I).5d                | 2K        | 13/2 |          27706.631    |            
                           |           |      |                       |             
4f2.(3P).5d                |           |  7/2 |          27811.496    |            
                           |           |      |                       |             
4f.5d.(3F*).6p             |           |  5/2 |          27812.398    |            
                           |           |      |                       |             
4f.5d.(3F*).6p             |           |  3/2 |          27835.233    |            
                           |           |      |                       |             
4f2.(1I).5d                | 2H        |  9/2 |          27905.157    |            
                           |           |      |                       |             
4f.5d.(3H*).6p             |           |  9/2 |          27934.638    |            
                           |           |      |                       |             
4f2.(1I).5d                | 2H        | 11/2 |          27950.889    |            
                           |           |      |                       |             
4f2.(3H<5>).6p<1/2>        | (5,1/2)*  |  9/2 |          27975.619    |            
                           |           |      |                       |             
4f2.(1I).5d                | 2L        | 17/2 |          28096.58     |            
                           |           |      |                       |             
4f2.(1I).5d                | 2K        | 15/2 |          28117.519    |            
                           |           |      |                       |             
4f.5d.(3G*).6p             | 4H        |  7/2 |          28297.473    |            
                           |           |      |                       |             
4f2.(3H<4>).6p<3/2>        | (4,3/2)*  | 11/2 |          28327.071    |            
                           |           |      |                       |             
4f.5d.(3H*).6p             |           |  9/2 |          28334.756    |            
                           |           |      |                       |             
4f.5d.(3G*).6p             |           |  5/2 |          28337.814    |            
                           |           |      |                       |             
4f.5d.(1D*).6p             |           |  1/2 |          28345.313    |            
                           |           |      |                       |             
4f2.(3H<4>).6p<3/2>        | (4,3/2)*  |  7/2 |          28349.582    |            
                           |           |  5/2 |          28396.150    |            
                           |           |      |                       |             
4f.5d.(1G*).6p             |           | 11/2 |          28634.516    |            
                           |           |      |                       |             
4f.5d.(1G*).6p             |           |  5/2 |          28685.758    |            
                           |           |      |                       |             
4f.5d.(3H*).6p             |           |  9/2 |          28725.148    |            
                           |           |      |                       |             
4f.5d.(3F*).6p             | 4F        |  7/2 |          28730.712    |            
                           |           |      |                       |             
4f.5d.(3F*).6p             |           |  3/2 |          29029.353    |            
                           |           |      |                       |             
4f2.(3H<6>).6p<1/2>        | (6,1/2)*  | 13/2 |          29043.854    |            
                           |           |      |                       |             
4f.5d.(3F*).6p             | 4G        |  9/2 |          29166.597    |            
                           |           |      |                       |             
4f2.(3H<6>).6p<1/2>        | (6,1/2)*  | 11/2 |          29263.338    |            
                           |           |      |                       |             
4f.5d.(3F*).6p             |           |  5/2 |          29281.374    |            
                           |           |      |                       |             
4f2.(3P).5d                |           |  7/2 |          29364.740    |            
                           |           |      |                       |             
4f.5d.(3H*).6p             |           | 11/2 |          29438.817    |            
                           |           |      |                       |             
