                    |        |  3/2 |         46517.55    |            
                    |        |  5/2 |         46570.25    |            
                    |        |      |                     |             
                    | 4P     |  5/2 |         46623.54    |            
                    |        |      |                     |             
3d2.(3F).5p         | 4D*    |  7/2 |         46641.64    |            
                    |        |      |                     |             
                    | *      |      |         46748.53    |            
                    |        |      |                     |             
                    | 2D     |  3/2 |         46914.54    |            
                    |        |  5/2 |         46989.52    |            
                    |        |      |                     |             
                    | *      |      |         47040.14    |            
                    |        |      |                     |             
3d2.(3F).5p         | 2D*    |  3/2 |         47229.54    |            
                    |        |  5/2 |         47314.53    |            
                    |        |      |                     |             
                    | 2D     |  3/2 |         47375.66    |            
                    |        |  5/2 |         47425.46    |            
                    |        |      |                     |             
3d.4s.(3D).7s       | 4D     |  1/2 |         47475.90    |            
                    |        |      |                     |             
                    | 4P     |  1/2 |         47488.72    |            
                    |        |      |                     |             
3d.4s.(3D).7s       | 4D     |  3/2 |         47507.39    |            
                    |        |      |                     |             
                    | 2G     |  7/2 |         47514.22    |            
                    |        |      |                     |             
                    | 4P     |  3/2 |         47535.78    |            
                    |        |      |                     |             
3d.4s.(3D).7s       | 4D     |  5/2 |         47563.31    |            
                    |        |      |                     |             
                    | 2G     |  9/2 |         47589.73    |            
                    |        |      |                     |             
                    | 4P     |  5/2 |         47604.59    |            
                    |        |      |                     |             
3d.4s.(3D).7s       | 4D     |  7/2 |         47652.61    |            
                    |        |      |                     |             
                    | 4P     |  3/2 |         48324.66    |            
                    |        |      |                     |             
                    | *      |      |         48345.87    |            
                    |        |      |                     |             
                    | *      |      |         48362.39    |            
                    |        |      |                     |             
                    | 4P     |  5/2 |         48373.17    |            
                    |        |      |                     |             
                    | *      |      |         48380.66    |            
                    |        |      |                     |             
                    | *      |      |         48396.82    |            
                    |        |      |                     |             
                    | *      |      |         48401.01    |            
                    |        |      |                     |             
                    | *      |      |         48432.46    |            
                    |        |      |                     |             
                    | *      |      |         48458.34    |            
                    |        |      |                     |             
                    | *      |      |         48465.10    |            
                    |        |      |                     |             
                    | *      |      |         48489.03    |            
                    |        |      |                     |             
                    | *      |      |         48551.87    |            
                    |        |      |                     |             
                    | *      |      |         48561.60    |            
                    |        |      |                     |             
                    | *      |      |         48563.43    |            
                    |        |      |                     |             
                    | *      |      |         48582.13    |            
                    |        |      |                     |             
                    | *      |      |         48598.05    |            
                    |        |      |                     |             
                    | 4P     |  1/2 |         48830.11    |            
                    |        |      |                     |             
                    | *      |      |         48850.07    |            
                    |        |      |                     |             
                    | 4P     |  3/2 |         48869.56    |            
                    |        |      |                     |             
                    | *      |      |         48903.32    |            
                    |        |      |                     |             
                    | 4P     |  5/2 |         48920.60    |            
                    |        |      |                     |             
                    | *      |      |         48941.83    |            
                    |        |      |                     |             
                    | *      |      |         49180.25    |            
                    |        |      |                     |             
                    | *      |      |         49833.36    |            
                    |        |      |                     |             
                    | *      |      |         49879.76    |            
                    |        |      |                     |             
                    | *      |      |         49938.31    |            
                    |        |      |                     |             
                    | *      |      |         49948.35    |            
                    |        |      |                     |             
                    | *      |      |         49980.05    |            
                    |        |      |                     |             
                    | *      |      |         49995.25    |            
                    |        |      |                     |             
                    | *      |      |         50009.54    |            
                    |        |      |                     |             
                    | *      |      |         50042.72    |            
                    |        |      |                     |             
                    | *      |      |         50069.96    |            
                    |        |      |                     |             
                    | *      |      |         50630.78    |            
                    |        |      |                     |             
                    | *      |      |         50772.65    |            
                    |        |      |                     |             
                    | *      |      |         50788.10    |            
                    |        |      |                     |             
                    | *      |      |         50842.99    |            
                    |        |      |                     |             
                    | *      |      |         50845.61    |            
                    |        |      |                     |             
                    | *      |      |         50903.92    |            
                    |        |      |                     |             
                    | *      |      |         50958.44    |            
                    |        |      |                     |             
                    | *      |      |         50968.77    |            
                    |        |      |                     |             
                    | *      |      |         50984.90    |            
                    |        |      |                     |             
                    | *      |      |         50989.29    |            
                    |        |      |                     |             
3d.4s.(1D).7p       | 2P*    |  3/2 |         51110.61    |            
                    |        |      |                     |             
                    | *      |      |         51174.21    |            
                    |        |      |                     |             
                    | *      |      |         51199.80    |            
                    |        |      |                     |             
                    | *      |      |         51206.49    |            
                    |        |      |                     |             
                    | *      |      |         51235.11    |            
                    |        |      |                     |             
                    | *      |      |         51251.88    |            
                    |        |      |                     |             
                    | *      |      |         51259.21    |            
                    |        |      |                     |             
                    | *      |      |         51316.21    |            
                    |        |      |                     |             
                    | *      |      |         51326.17    |            
                    |        |      |                     |             
                    | *      |      |         51343.84    |            
                    |        |      |                     |             
                    | *      |      |         51533.58    |            
                    |        |      |                     |             
                    | *      |      |         51540.05    |            
                    |        |      |                     |             
                    | *      |      |         51563.87    |            
                    |        |      |                     |             
                    | *      |      |         51581.86    |            
                    |        |      |                     |             
                    | *      |      |         51586.48    |            
                    |        |      |                     |             
                    | *      |      |         51610.24    |            
                    |        |      |                     |             
                    | *      |      |         51641.91    |            
                    |        |      |                     |             
                    | *      |      |         51646.62    |            
                    |        |      |                     |             
                    | *      |      |         51657.39    |            
                    |        |      |                     |             
                    | *      |      |         51659.49    |            
                    |        |      |                     |             
                    | *      |      |         51757.40    |            
                    |        |      |                     |             
                    | *      |      |         51786.80    |            
