4f9.(6H*<15/2>).6s.6p.(1P*<1>)          | (15/2,1)   | 17/2 |        23107.25     |          
                                        |            |      |                     |           
4f9.(6H*<13/2>).6s.6p.(3P*<2>)?         | (13/2,2)?  | 15/2 |        23112.35     |          
                                        |            |      |                     |           
4f9.(6H*<15/2>).6s.6p.(1P*<1>)          | (15/2,1)   | 15/2 |        23147.92     |          
                                        |            |      |                     |           
                                        | *          |  9/2 |        23191.65     |          
                                        |            |      |                     |           
                                        | *          | 15/2 |        23213.87     |          
                                        |            |      |                     |           
                                        | *          | 13/2 |        23248.17     |          
                                        |            |      |                     |           
                                        | *          |  1/2 |        23248.96     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        23394.47     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        23425.83     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        23438.36     |          
                                        |            |      |                     |           
                                        | *          |  5/2 |        23455.34     |          
                                        |            |      |                     |           
4f8.5d.6s.6p?                           | *          | 15/2 |        23464.78     |          
                                        |            |      |                     |           
                                        | *          |  5/2 |        23487.88     |          
                                        |            |      |                     |           
                                        | *          |  5/2 |        23492.50     |          
                                        |            |      |                     |           
                                        | *          |  9/2 |        23519.94     |          
                                        |            |      |                     |           
                                        | *          | 13/2 |        23689.81     |          
                                        |            |      |                     |           
                                        | *          | 13/2 |        23720.34     |          
                                        |            |      |                     |           
                                        | *          |  9/2 |        23725.23     |          
                                        |            |      |                     |           
                                        | *          |  3/2 |        23756.97     |          
                                        |            |      |                     |           
                                        | *          | 17/2 |        23797.22     |          
                                        |            |      |                     |           
                                        | *          | 13/2 |        23847.54     |          
                                        |            |      |                     |           
                                        | *          | 15/2 |        23889.75     |          
                                        |            |      |                     |           
                                        | *          | 15/2 |        23907.28     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        23951.55     |          
                                        |            |      |                     |           
                                        | *          |  9/2 |        23957.26     |          
                                        |            |      |                     |           
                                        | *          | 13/2 |        24003.73     |          
                                        |            |      |                     |           
                                        | *          |  7/2 |        24032.11     |          
                                        |            |      |                     |           
                                        | *          | 13/2 |        24049.29     |          
                                        |            |      |                     |           
                                        | *          |  7/2 |        24075.69     |          
                                        |            |      |                     |           
                                        | *          | 15/2 |        24085.58     |          
                                        |            |      |                     |           
                                        | *          | 13/2 |        24088.51     |          
                                        |            |      |                     |           
                                        | *          |  9/2 |        24092.09     |          
                                        |            |      |                     |           
                                        | *          | 17/2 |        24188.61     |          
                                        |            |      |                     |           
                                        | *          | 13/2 |        24243.36     |          
                                        |            |      |                     |           
                                        | *          |  5/2 |        24271.04     |          
                                        |            |      |                     |           
                                        | *          | 15/2 |        24325.67     |          
                                        |            |      |                     |           
                                        | *          |  9/2 |        24363.28     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        24392.79     |          
                                        |            |      |                     |           
                                        | *          |  3/2 |        24420.32     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        24438.71     |          
                                        |            |      |                     |           
                                        | *          |  3/2 |        24443.57     |          
                                        |            |      |                     |           
                                        | *          |  9/2 |        24481.11     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        24490.95     |          
                                        |            |      |                     |           
                                        | *          |  3/2 |        24551.64     |          
                                        |            |      |                     |           
                                        | *          |  9/2 |        24557.68     |          
                                        |            |      |                     |           
                                        | *          |  5/2 |        24613.87     |          
                                        |            |      |                     |           
                                        | *          | 13/2 |        24636.94     |          
                                        |            |      |                     |           
                                        | *          | 15/2 |        24638.54     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        24658.90     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        24701.62     |          
                                        |            |      |                     |           
                                        | *          | 13/2 |        24769.12     |          
                                        |            |      |                     |           
                                        | *          |  9/2 |        24775.29     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        24819.21     |          
                                        |            |      |                     |           
                                        | *          | 13/2 |        24824.89     |          
                                        |            |      |                     |           
                                        | *          |  9/2 |        24843.50     |          
                                        |            |      |                     |           
