4f7.(8S*).5d (9D*).6p      |           |  7/2 |          29242.250    |            
                           |           |      |                       |             
4f7.(8S*).5d (9D*).6p      | 10F       | 13/2 |          29353.344    |            
                           |           |      |                       |             
4f8.(7F).5d                | 6H        |  7/2 |          29417.045    |            
                           |           |      |                       |             
4f8.(7F).5d                | 6D        |  5/2 |          29715.817    |            
                           |           |      |                       |             
4f8.(7F).5d                | 6H        |  5/2 |          29819.766    |            
                           |           |      |                       |             
4f7.(8S*).5d (9D*).6p      | 8D        |  3/2 |          29877.937    |            
                           |           |  5/2 |          29965.752    |            
                           |           |  7/2 |          30008.894    |            
                           |           |  9/2 |          30027.378    |            
                           |           |      |                       |             
4f7.(8S*).5d (9D*).6p      |           | 11/2 |          30101.366    |            
                           |           |      |                       |             
4f8.(7F).5d                | 6P        |  7/2 |          30144.962    |            
                           |           |      |                       |             
4f7.(8S*).5d (9D*).6p      | 10D       | 11/2 |          30366.818    |            
                           |           |      |                       |             
4f8.(7F).5d                | 6D        |  3/2 |          30403.335    |            
                           |           |  1/2 |          30758.588    |            
                           |           |      |                       |             
4f7.(8S*).6s.6p.(3P*)      | 8P        |  9/2 |          30849.648    |            
                           |           |      |                       |             
4f7.(8S*).5d (9D*).6p      | 10D       | 13/2 |          30996.851    |            
                           |           |      |                       |             
4f7.(8S*).5d (9D*).6p      | 10F       | 15/2 |          31145.651    |            
                           |           |      |                       |             
4f8.(7F).5d                | 6P        |  5/2 |          31237.931    |            
                           |           |      |                       |             
4f7.(8S*).6s.6p.(3P*)      | 6P        |  7/2 |          31908.123    |            
                           |           |      |                       |             
4f8.(7F).5d                | 6P        |  3/2 |          31915.795    |            
                           |           |      |                       |             
4f7.(8S*).5d (9D*).6p      | 8F        |  1/2 |          31977.393    |            
                           |           |  3/2 |          32048.837    |            
                           |           |  5/2 |          32150.143    |            
                           |           |      |                       |             
4f7.(8S*).5d (9D*).6p      |           |  5/2 |          32260.120    |            
                           |           |      |                       |             
