4f10.(5I).5d.6s.6p?                        | *          |         13/2 |       27697.56    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p?                        | *          |         13/2 |       27724.36    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p?                        | *          |         17/2 |       27923.18    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p?                        | *          |         17/2 |       28244.29    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p?                        | *          |         17/2 |       28315.79    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p?                        | *          |         19/2 |       28393.24    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p?                        | *          |         21/2 |       28481.24    |     L3974
                                           |            |              |                   |           
                                           | *          |         15/2 |       28561.18    |     L3974
                                           |            |              |                   |           
4f11.(4I*).5d.6s.(1D)                      | 4L*        |         17/2 |       28861.41    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p?                        | *          |         21/2 |       28887.78    |     L3974
                                           |            |              |                   |           
4f11.(4I*<13/2>).6s.6p.(1P*<1>)            | (13/2,1)   |         11/2 |       29069.78    |     L3974
                                           |            |              |                   |           
                                           | *          |         15/2 |       29086.67    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p?                        | *          |         13/2 |       29266.91    |     L3974
                                           |            |              |                   |           
                                           | *          |         17/2 |       29443.09    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p?                        | *          |         19/2 |       29465.60    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p?                        | *          |         21/2 |       29558.07    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p?                        | 8M*?       |         15/2 |       29576.42    |     L3974
                                           |            |              |                   |           
4f11.(4I*<13/2>).6s.6p.(1P*<1>)            | (13/2,1)   |         15/2 |       29642.60    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p?                        | *          |         19/2 |       29692.67    |     L3974
                                           |            |              |                   |           
4f11.(4I*<13/2>).6s.6p.(1P*<1>)            | (13/2,1)   |         13/2 |       29751.91    |     L3974
                                           |            |              |                   |           
                                           | *          |         15/2 |       29834.05    |     L3974
                                           |            |              |                   |           
                                           | *          |         15/2 |       29979.51    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p?                        | *          |         13/2 |       30011.00    |     L3974
                                           |            |              |                   |           
