Aij
1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s
0.0 0.0 0.0 0.0 0.0 5.98e-03 1.90e-02 1.33e-02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.11e-02 1.10e-02 0.0 0.0 1.60e-04 0.0 1.98e-03 0.0 2.10e-07 0.0 5.30e-04 4.80e-04 1.20e-03 0.0 0.0 1.68e-03 1.80e-03 6.90e-08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 1.80e-06 1.90e-03 4.00e-04 0.0 0.0 2.10e-03 1.11e-02 0.0 1.20e-04 4.32e-01 1.21e-01 6.30e-05 2.60e-03 2.50e-04 0.0 0.0 1.50e-02 1.80e-06 0.0 0.0 0.0  7.80e-08 0.0 1.20e-02 0.0 0.0 0.0 4.90e-03 2.40e-02 0.0 0.0 0.0 0.0 0.0 0.0 2.66e-02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
8.30e-05 1.50e-04 6.40e-05 4.00e-07 0.0 5.92e-03 7.44e-03 1.86e-02 5.75e-03 3.23e-01 8.97e-02 3.00e-07 0.0 0.0 0.0 0.0 7.28e-02 1.14e-02 9.42e-03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  2.60e-03 1.90e-04 2.00e-03 1.70e-08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
2.20e-12 2.00e-04 8.80e-05 2.20e-05 8.90e-09 2.50e-04 1.20e-03 1.15e-02 3.11e-02 1.66e-02 1.20e-01 6.93e-02 3.90e-06 0.0 0.0 0.0 6.21e-03 6.14e-02 6.80e-03 7.21e-03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.70e-07 3.20e-03 2.30e-04 1.30e-03 0.0 0.0 0.0 0.0 3.24e-03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 4.73e-03 3.24e-03 1.10e-03 0.0 2.80e-04 2.50e-05 0.0 0.0 0.0 0.0 0.0 1.21e-01 1.28e-02 0.0 0.0 3.56e-02 9.29e-03 1.38e-02 0.0 5.00e-06 0.0 1.72e-02 4.09e-03 7.50e-05 0.0 0.0 1.69e-02 6.02e-03 1.30e-09 0.0 0.0 6.63e-03 0.0 3.71e-03 0.0 0.0 1.06e-02 1.70e-02 0.0 6.51e-03 4.60e-08 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 8.20e-04 2.20e-03 1.60e-03 2.90e-04 4.94e-03 3.20e-03 1.40e-05 0.0 0.0 0.0 0.0 2.20e-02 1.12e-01 0.0 0.0 1.60e-03 3.29e-02 1.30e-04 8.58e-03 0.0 0.0 8.90e-07 1.66e-02 1.21e-02 0.0 0.0 7.30e-04 6.19e-03 5.62e-03 3.00e-09 0.0 0.0 0.0 0.0 3.66e-03 5.74e-03 1.70e-05 1.24e-02 0.0 1.97e-02 5.82e-03 0.0 0.0 0.0 0.0 0.0 0.0
2.20e-01 6.90e-02 2.90e-02 1.48e-01 5.95e-02 7.30e-01 4.53e-01 2.45e-01 4.69e-01 1.94e-03 1.72e-02 6.60e-05 0.0 7.73e-02 8.58e-02 4.19e-02 0.0 0.0 2.10e-03 2.60e-05 0.0 5.80e-04 0.0 5.60e-02 0.0 1.60e-04 0.0 0.0 0.0 3.56e-02 0.0 6.84e-03 3.79e-03 1.31e-03 3.70e-77 0.0 0.0 2.20e-06 0.0 0.0 0.0 0.0 0.0 5.00e-03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2.30e-05 4.61e-02 1.20e-01 3.92e-02 2.08e-01 2.00e-01 3.73e-01 6.54e-01 4.90e-01 2.44e-02 2.54e-04 1.30e-02 9.80e-05 2.11e-02 1.72e-01 6.60e-02 0.0 0.0 5.10e-04 7.70e-04 0.0 1.70e-05 0.0 3.09e-02 0.0 1.70e-04 0.0 0.0 0.0 3.01e-02 4.39e-02 3.30e-06 4.80e-02 2.70e-03 8.75e-04 0.0 0.0 2.30e-04 0.0 0.0 0.0 0.0 0.0 1.40e-02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 3.24e-02 1.12e-01 5.44e-02 6.10e-02 2.55e-01 4.48e-01 4.09e-01 7.86e-02 2.30e-02 1.45e-02 6.40e-05 8.00e-03 1.38e-01 7.55e-02 7.05e-02 0.0 0.0 1.50e-04 3.30e-05 0.0 1.30e-05 0.0 2.55e-02 0.0 5.10e-05 0.0 0.0 0.0 4.33e-02 5.30e-04 0.0 1.50e-05 1.20e-03 2.39e-03 0.0 0.0 1.10e-02 0.0 0.0 0.0 0.0 0.0 1.70e-08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
*** Fe II transition probabilities
*** ATOM iron
*** SPECTRUM 2
*** N_LEVELS 52
*** GSCONFIG unknown
*** SOURCE Bautista, Fivet, Ballance et al. 2015, ApJ, 808, 174
*** NOTE A-values
*** VACUUM 1
